Stereotype,average_quantity,rank,proportion
bringsAbout,0,8,0.0
characterization,4,4,0.08333333333333333
comparative,0,8,0.0
componentOf,0,8,0.0
creation,0,8,0.0
derivation,1,7,0.020833333333333332
externalDependence,0,8,0.0
formal,0,8,0.0
historicalDependence,0,8,0.0
instantiation,0,8,0.0
manifestation,0,8,0.0
material,3,5,0.0625
mediation,7,2,0.14583333333333334
memberOf,0,8,0.0
participation,2,6,0.041666666666666664
participational,0,8,0.0
subCollectionOf,0,8,0.0
subQuantityOf,0,8,0.0
termination,0,8,0.0
triggers,0,8,0.0
none,25,1,0.5208333333333334
other,6,3,0.125
