Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4598631698973774,4,0.24664879356568364
20.0,9,0.6612314709236032,9,0.4897229669347632
30.0,13,0.7749144811858609,13,0.6228775692582663
40.0,18,0.8728620296465223,18,0.7506702412868632
50.0,22,0.9112884834663626,22,0.8221626452189454
60.0,27,0.9503990877993158,27,0.8945487042001787
70.0,31,0.9719498289623717,31,0.9374441465594281
80.0,36,0.9877993158494869,36,0.9722966934763181
90.0,40,0.9954389965792474,40,0.9892761394101877
100.0,45,1.0,45,1.0
