Stereotype,Shannon Entropy,Gini Coefficient,Simpson Index
abstract,0.0,0.9879518072289156,1.0
category,5.323400182209896,0.6325747434181169,0.03215363511659808
collective,4.032657117369935,0.8433734939759037,0.08116545265348594
datatype,3.9295758204240054,0.8557306147667594,0.08086785009861933
enumeration,1.992018822383133,0.9613966068355053,0.28529779258642235
event,4.351667117434424,0.7941265060240964,0.090234375
historicalRole,1.2087030023114833,0.9774751178627553,0.5727788279773156
historicalRoleMixin,1.3921472193364495,0.9718875502008032,0.4074074074074074
kind,5.418046514400737,0.5762322015334064,0.04085227272727273
mixin,3.6249999812449647,0.8659638554216867,0.0859375
mode,4.436761627788628,0.7867908882493537,0.07820157681653526
phase,4.5995820165011345,0.7740500463392029,0.04967784352399737
phaseMixin,2.701609485517467,0.9349397590361446,0.19
quality,4.668206114037142,0.760149843069758,0.05592825365440293
quantity,2.663532744705389,0.9353778751369113,0.17355371900826444
relator,5.314191105349663,0.6314488724127278,0.03550295857988166
role,5.4795916434652145,0.5819277108433735,0.027012500000000002
roleMixin,4.05094258227579,0.8413139738440943,0.09657389144568632
situation,3.634623102808949,0.8791294209094442,0.09625390218522371
subkind,5.128732778251562,0.6830053131781786,0.03912743421250038
type,3.7785402119675746,0.8713774014978835,0.08802045288531776
none_c,2.6573296401619304,0.9390450691655511,0.25377229080932784
other_c,2.8513118884486763,0.9313253012048193,0.1625
bringsAbout,3.3376777638312163,0.8969210174029452,0.10562414266117968
characterization,5.205110521936263,0.6604428183939949,0.03459334996299445
comparative,1.8556037698263546,0.9649507119386638,0.3223140495867769
componentOf,4.249583998246155,0.824679885461127,0.07024070461903517
creation,3.7757691474210855,0.8694779116465864,0.09222222222222223
derivation,3.885217901862634,0.846987951807229,0.1234
externalDependence,3.8841083676371952,0.8609962237007732,0.08220093562040544
historicalDependence,3.540328955914902,0.8890948409020698,0.10585141354372124
instantiation,3.692570610334384,0.8771803632440208,0.08932947204277121
manifestation,3.0353594088603257,0.9203264671589584,0.16129032258064516
material,4.348167534676464,0.8134660829814434,0.06915768033829262
mediation,5.173715427381983,0.6668722891566266,0.03792639999999999
memberOf,3.649949569418503,0.8814387986729527,0.11069103129594624
participation,3.8659269122523567,0.8587410867961642,0.11281757600999585
participational,1.5197284558087811,0.9709425939050319,0.39792387543252594
subCollectionOf,0.9544340000395749,0.9789156626506024,0.53125
subQuantityOf,0.43949698403612325,0.9857612267250822,0.8347107438016528
termination,1.5219280905592771,0.9686746987951808,0.3600000000000001
triggers,3.0391486589188155,0.9156626506024096,0.13265306122448978
none_r,5.469695846999492,0.5908741348372212,0.03249402303078316
other_r,3.2874379812583343,0.9098256379555489,0.14494039581806256
