Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,74,1,74,7.0543374642516685
none_r,74,2,148,14.108674928503337
relator,64,3,212,20.20972354623451
subkind,64,4,276,26.31077216396568
category,60,5,336,32.030505243088655
role,59,6,395,37.65490943755958
mediation,57,7,452,43.088655862726405
characterization,54,8,506,48.236415633937085
other_r,52,9,558,53.193517635843655
other_c,44,10,602,57.38798856053384
mode,42,11,644,61.391801715919925
quality,40,12,684,65.2049571020019
event,38,13,722,68.82745471877979
material,35,14,757,72.16396568160152
phase,33,15,790,75.30981887511916
derivation,29,16,819,78.0743565300286
participation,28,17,847,80.743565300286
collective,24,18,871,83.03145853193517
datatype,21,19,892,85.03336510962822
creation,19,20,911,86.84461391801716
type,19,21,930,88.6558627264061
instantiation,17,22,947,90.27645376549094
none_c,15,23,962,91.70638703527169
situation,15,24,977,93.13632030505244
mixin,13,25,990,94.37559580552907
formal,12,26,1002,95.51954242135366
manifestation,12,27,1014,96.66348903717827
triggers,9,28,1023,97.52144899904671
quantity,7,29,1030,98.18875119161106
enumeration,5,30,1035,98.66539561487131
comparative,5,31,1040,99.14204003813155
termination,4,32,1044,99.52335557673975
participational,4,33,1048,99.90467111534795
abstract,1,34,1049,100.0
phaseMixin,0,35,1049,100.0
historicalRole,0,36,1049,100.0
historicalRoleMixin,0,37,1049,100.0
componentOf,0,38,1049,100.0
bringsAbout,0,39,1049,100.0
roleMixin,0,40,1049,100.0
externalDependence,0,41,1049,100.0
memberOf,0,42,1049,100.0
historicalDependence,0,43,1049,100.0
subQuantityOf,0,44,1049,100.0
subCollectionOf,0,45,1049,100.0
