Stereotype,category,event,kind,mode,phase,quality,relator,role,subkind,none_c,other_c,characterization,derivation,material,mediation,participation,none_r,other_r
category,1.0,0.1199896447705136,0.10283986797392575,0.32083505168199283,0.053351687022990486,0.2763420122464258,0.07488103277997057,0.026591471309100362,0.1766152199393294,0.14588106681390367,0.2229021711641653,0.3471818481027742,0.11023960444529737,0.0,0.09080968026245702,0.14159016830328217,0.12739580581277613,0.25583578415209013
event,0.1199896447705136,1.0,0.16554336348541668,0.20002292948691508,0.1630331129030328,0.11795778381157292,0.09065458295308161,0.02590605330941514,0.05784042863064973,0.03985000308886881,0.33277599470650604,0.2682878169853354,0.062460543889424916,0.04553188172221398,0.03465575191383628,0.7596252144357225,0.194033254633701,0.42551949035530967
kind,0.10283986797392575,0.16554336348541668,1.0,0.10650580711906686,0.27726653526511624,0.1921810667193403,0.2912623503361605,0.3970122472044328,0.5431504089553695,0.06785871685207431,0.1648893958109681,0.053464022467226494,0.20182675340430495,0.2638809549249172,0.2849770070966823,0.22113119494176106,0.053858775318641805,0.10563075398506426
mode,0.32083505168199283,0.20002292948691508,0.10650580711906686,1.0,0.1015746930366366,0.31438538829228946,0.12439286587875409,0.21244631031450836,0.181298085640068,0.18034667946836438,0.07862378852675968,0.576230464585257,0.046630090131199606,0.17464055404419865,0.2019719055919251,0.11150324422070183,0.0,0.3041303511061675
phase,0.053351687022990486,0.1630331129030328,0.27726653526511624,0.1015746930366366,1.0,0.08138049421095131,0.23797802034290255,0.32972100613373984,0.327631327895776,0.058751720553272095,0.023113970781894585,0.06840954920736575,0.10132074466478587,0.17740688041925234,0.31986349333875047,0.045803342582316754,0.017897165839128634,0.1734029847998899
quality,0.2763420122464258,0.11795778381157292,0.1921810667193403,0.31438538829228946,0.08138049421095131,1.0,0.20010145737798296,0.1541780671388059,0.23967736708549647,0.29575742029517976,0.007222634891339719,0.5593797137915619,0.06672281538917924,0.1284017708054545,0.11868536676866907,0.1532727609783855,0.04671504563857291,0.12761189831490527
relator,0.07488103277997057,0.09065458295308161,0.2912623503361605,0.12439286587875409,0.23797802034290255,0.20010145737798296,1.0,0.26280715989199255,0.2069568975792839,0.158053680496172,0.023951856000441345,0.26919800467537297,0.318893074306892,0.3577512613067746,0.7831345015528516,0.05285914062161639,0.11731878472198116,0.2722402116218487
role,0.026591471309100362,0.02590605330941514,0.3970122472044328,0.21244631031450836,0.32972100613373984,0.1541780671388059,0.26280715989199255,1.0,0.120401501213743,0.10538164034761538,0.05330893852122162,0.09058292059945913,0.22285758618947107,0.0781331786928779,0.3224811100132498,0.16906436380081027,0.13110642568979405,0.0872773980534429
subkind,0.1766152199393294,0.05784042863064973,0.5431504089553695,0.181298085640068,0.327631327895776,0.23967736708549647,0.2069568975792839,0.120401501213743,1.0,0.06149163170302497,0.03977468513775184,0.04578570485201777,0.06764788502385764,0.05988754788753581,0.09260209087499482,0.053708782541517404,0.020288705058760424,0.14703700953860804
none_c,0.14588106681390367,0.03985000308886881,0.06785871685207431,0.18034667946836438,0.058751720553272095,0.29575742029517976,0.158053680496172,0.10538164034761538,0.06149163170302497,1.0,0.17963959267774068,0.12616832505299144,0.04447188309644636,0.056664010089429985,0.010679429573951647,0.07357513042162586,0.11863119563478627,0.05780366434767517
other_c,0.2229021711641653,0.33277599470650604,0.1648893958109681,0.07862378852675968,0.023113970781894585,0.007222634891339719,0.023951856000441345,0.05330893852122162,0.03977468513775184,0.17963959267774068,1.0,0.10071908324105303,0.04714060196519852,0.028047631200556714,0.011098136210303838,0.263368044168337,0.1514178719378158,0.2647017036865112
characterization,0.3471818481027742,0.2682878169853354,0.053464022467226494,0.576230464585257,0.06840954920736575,0.5593797137915619,0.26919800467537297,0.09058292059945913,0.04578570485201777,0.12616832505299144,0.10071908324105303,1.0,0.010061264732020896,0.2673344715515709,0.2661752471888583,0.27797070422642334,0.051734456693899665,0.4396874142814305
derivation,0.11023960444529737,0.062460543889424916,0.20182675340430495,0.046630090131199606,0.10132074466478587,0.06672281538917924,0.318893074306892,0.22285758618947107,0.06764788502385764,0.04447188309644636,0.04714060196519852,0.010061264732020896,1.0,0.4714207897433056,0.41650078050916617,0.042607771627142646,0.0757320923695605,0.12096179308807209
material,0.0,0.04553188172221398,0.2638809549249172,0.17464055404419865,0.17740688041925234,0.1284017708054545,0.3577512613067746,0.0781331786928779,0.05988754788753581,0.056664010089429985,0.028047631200556714,0.2673344715515709,0.4714207897433056,1.0,0.430093421008781,0.018085162306203,0.20441609446179168,0.23925293620173846
mediation,0.09080968026245702,0.03465575191383628,0.2849770070966823,0.2019719055919251,0.31986349333875047,0.11868536676866907,0.7831345015528516,0.3224811100132498,0.09260209087499482,0.010679429573951647,0.011098136210303838,0.2661752471888583,0.41650078050916617,0.430093421008781,1.0,0.06790681629640091,0.13099247078124518,0.21809434445690723
participation,0.14159016830328217,0.7596252144357225,0.22113119494176106,0.11150324422070183,0.045803342582316754,0.1532727609783855,0.05285914062161639,0.16906436380081027,0.053708782541517404,0.07357513042162586,0.263368044168337,0.27797070422642334,0.042607771627142646,0.018085162306203,0.06790681629640091,1.0,0.12549977129433987,0.3860749751407122
none_r,0.12739580581277613,0.194033254633701,0.053858775318641805,0.0,0.017897165839128634,0.04671504563857291,0.11731878472198116,0.13110642568979405,0.020288705058760424,0.11863119563478627,0.1514178719378158,0.051734456693899665,0.0757320923695605,0.20441609446179168,0.13099247078124518,0.12549977129433987,1.0,0.005748482939495339
other_r,0.25583578415209013,0.42551949035530967,0.10563075398506426,0.3041303511061675,0.1734029847998899,0.12761189831490527,0.2722402116218487,0.0872773980534429,0.14703700953860804,0.05780366434767517,0.2647017036865112,0.4396874142814305,0.12096179308807209,0.23925293620173846,0.21809434445690723,0.3860749751407122,0.005748482939495339,1.0
