Stereotype,Stereotype2,Absolute Value,Sign,Classification
event,category,0.1199896447705136,positive,very_weak
kind,category,0.10283986797392575,positive,very_weak
mode,category,0.32083505168199283,positive,weak
phase,category,0.053351687022990486,positive,very_weak
quality,category,0.2763420122464258,positive,weak
relator,category,0.07488103277997057,positive,very_weak
role,category,0.026591471309100362,positive,very_weak
roleMixin,category,0.23933850630157866,positive,weak
subkind,category,0.1766152199393294,positive,very_weak
none_c,category,0.14588106681390367,positive,very_weak
characterization,category,0.3471818481027742,positive,weak
componentOf,category,0.3057506790400713,positive,weak
derivation,category,0.11023960444529737,positive,very_weak
material,category,0.0,negative,very_weak
mediation,category,0.09080968026245702,positive,very_weak
participation,category,0.14159016830328217,positive,very_weak
none_r,category,0.12739580581277613,positive,very_weak
category,event,0.1199896447705136,positive,very_weak
kind,event,0.16554336348541668,positive,very_weak
mode,event,0.20002292948691508,positive,weak
phase,event,0.1630331129030328,positive,very_weak
quality,event,0.11795778381157292,positive,very_weak
relator,event,0.09065458295308161,positive,very_weak
role,event,0.02590605330941514,positive,very_weak
roleMixin,event,0.273632034588517,positive,weak
subkind,event,0.05784042863064973,positive,very_weak
none_c,event,0.03985000308886881,positive,very_weak
characterization,event,0.2682878169853354,positive,weak
componentOf,event,0.017911783357046136,positive,very_weak
derivation,event,0.062460543889424916,positive,very_weak
material,event,0.04553188172221398,positive,very_weak
mediation,event,0.03465575191383628,positive,very_weak
participation,event,0.7596252144357225,positive,strong
none_r,event,0.194033254633701,positive,very_weak
category,kind,0.10283986797392575,positive,very_weak
event,kind,0.16554336348541668,positive,very_weak
mode,kind,0.10650580711906686,positive,very_weak
phase,kind,0.27726653526511624,positive,weak
quality,kind,0.1921810667193403,positive,very_weak
relator,kind,0.2912623503361605,positive,weak
role,kind,0.3970122472044328,positive,weak
roleMixin,kind,0.15531756955795137,positive,very_weak
subkind,kind,0.5431504089553695,positive,moderate
none_c,kind,0.06785871685207431,positive,very_weak
characterization,kind,0.053464022467226494,positive,very_weak
componentOf,kind,0.23031995011969816,positive,weak
derivation,kind,0.20182675340430495,positive,weak
material,kind,0.2638809549249172,positive,weak
mediation,kind,0.2849770070966823,positive,weak
participation,kind,0.22113119494176106,positive,weak
none_r,kind,0.053858775318641805,positive,very_weak
category,mode,0.32083505168199283,positive,weak
event,mode,0.20002292948691508,positive,weak
kind,mode,0.10650580711906686,positive,very_weak
phase,mode,0.1015746930366366,positive,very_weak
quality,mode,0.31438538829228946,positive,weak
relator,mode,0.12439286587875409,positive,very_weak
role,mode,0.21244631031450836,positive,weak
roleMixin,mode,0.20862994912742316,positive,weak
subkind,mode,0.181298085640068,positive,very_weak
none_c,mode,0.18034667946836438,positive,very_weak
characterization,mode,0.576230464585257,positive,moderate
componentOf,mode,0.23611286594613293,positive,weak
derivation,mode,0.046630090131199606,positive,very_weak
material,mode,0.17464055404419865,positive,very_weak
mediation,mode,0.2019719055919251,positive,weak
participation,mode,0.11150324422070183,positive,very_weak
none_r,mode,0.0,negative,very_weak
category,phase,0.053351687022990486,positive,very_weak
event,phase,0.1630331129030328,positive,very_weak
kind,phase,0.27726653526511624,positive,weak
mode,phase,0.1015746930366366,positive,very_weak
quality,phase,0.08138049421095131,positive,very_weak
relator,phase,0.23797802034290255,positive,weak
role,phase,0.32972100613373984,positive,weak
roleMixin,phase,0.011828918623951107,positive,very_weak
subkind,phase,0.327631327895776,positive,weak
none_c,phase,0.058751720553272095,positive,very_weak
characterization,phase,0.06840954920736575,positive,very_weak
componentOf,phase,0.22434571280609722,positive,weak
derivation,phase,0.10132074466478587,positive,very_weak
material,phase,0.17740688041925234,positive,very_weak
mediation,phase,0.31986349333875047,positive,weak
participation,phase,0.045803342582316754,positive,very_weak
none_r,phase,0.017897165839128634,positive,very_weak
category,quality,0.2763420122464258,positive,weak
event,quality,0.11795778381157292,positive,very_weak
kind,quality,0.1921810667193403,positive,very_weak
mode,quality,0.31438538829228946,positive,weak
phase,quality,0.08138049421095131,positive,very_weak
relator,quality,0.20010145737798296,positive,weak
role,quality,0.1541780671388059,positive,very_weak
roleMixin,quality,0.038788776261881534,positive,very_weak
subkind,quality,0.23967736708549647,positive,weak
none_c,quality,0.29575742029517976,positive,weak
characterization,quality,0.5593797137915619,positive,moderate
componentOf,quality,0.12341067961320555,positive,very_weak
derivation,quality,0.06672281538917924,positive,very_weak
material,quality,0.1284017708054545,positive,very_weak
mediation,quality,0.11868536676866907,positive,very_weak
participation,quality,0.1532727609783855,positive,very_weak
none_r,quality,0.04671504563857291,positive,very_weak
category,relator,0.07488103277997057,positive,very_weak
event,relator,0.09065458295308161,positive,very_weak
kind,relator,0.2912623503361605,positive,weak
mode,relator,0.12439286587875409,positive,very_weak
phase,relator,0.23797802034290255,positive,weak
quality,relator,0.20010145737798296,positive,weak
role,relator,0.26280715989199255,positive,weak
roleMixin,relator,0.09046098191026991,positive,very_weak
subkind,relator,0.2069568975792839,positive,weak
none_c,relator,0.158053680496172,positive,very_weak
characterization,relator,0.26919800467537297,positive,weak
componentOf,relator,0.2698135306756516,positive,weak
derivation,relator,0.318893074306892,positive,weak
material,relator,0.3577512613067746,positive,weak
mediation,relator,0.7831345015528516,positive,strong
participation,relator,0.05285914062161639,positive,very_weak
none_r,relator,0.11731878472198116,positive,very_weak
category,role,0.026591471309100362,positive,very_weak
event,role,0.02590605330941514,positive,very_weak
kind,role,0.3970122472044328,positive,weak
mode,role,0.21244631031450836,positive,weak
phase,role,0.32972100613373984,positive,weak
quality,role,0.1541780671388059,positive,very_weak
relator,role,0.26280715989199255,positive,weak
roleMixin,role,0.09959289848673036,positive,very_weak
subkind,role,0.120401501213743,positive,very_weak
none_c,role,0.10538164034761538,positive,very_weak
characterization,role,0.09058292059945913,positive,very_weak
componentOf,role,0.06795312060734642,positive,very_weak
derivation,role,0.22285758618947107,positive,weak
material,role,0.0781331786928779,positive,very_weak
mediation,role,0.3224811100132498,positive,weak
participation,role,0.16906436380081027,positive,very_weak
none_r,role,0.13110642568979405,positive,very_weak
category,roleMixin,0.23933850630157866,positive,weak
event,roleMixin,0.273632034588517,positive,weak
kind,roleMixin,0.15531756955795137,positive,very_weak
mode,roleMixin,0.20862994912742316,positive,weak
phase,roleMixin,0.011828918623951107,positive,very_weak
quality,roleMixin,0.038788776261881534,positive,very_weak
relator,roleMixin,0.09046098191026991,positive,very_weak
role,roleMixin,0.09959289848673036,positive,very_weak
subkind,roleMixin,0.06965060771721762,positive,very_weak
