stereotype,total_correlation,rank
category,3.8068926010774113,13
event,4.614464068829339,5
kind,5.248231858489137,1
mode,4.422197796037094,7
phase,3.519893323950097,14
quality,4.257238486744779,10
relator,4.802295654661143,4
role,4.123304580260804,11
roleMixin,3.282569474304185,16
subkind,3.8529577880422017,12
none_c,2.416239748745661,18
characterization,5.086332242256667,3
componentOf,4.287795255728842,8
derivation,3.311972571100535,15
material,4.259958778603038,9
mediation,5.1851230004167865,2
participation,4.4615087493228325,6
none_r,2.4988693363659857,17
other_r,2.106839033113494,19
