Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
bringsAbout,1.0,0.23136875682143776,0.09228353641509081,0.13035556977388257,0.010590883110678156,0.11616137607286349,0.05454380064320856,0.2880023054250233,0.17049493091150664,0.25284458674648674,0.1920450999986954,0.17402564812835625,0.046715643083488724,0.4517428863413982
characterization,0.23136875682143776,1.0,0.2982226667441275,0.13051854129285398,0.010061264732020896,0.296179970079098,0.019727709296831056,0.16175528321466645,0.257748138438918,0.25889238852456997,0.2673344715515709,0.2661752471888583,0.18686153529572133,0.27797070422642334
componentOf,0.09228353641509081,0.2982226667441275,1.0,0.08447329957551991,0.006768112320557516,0.005681694337891375,0.024251084891489517,0.15460092603228548,0.22583957389988263,0.15565859049818856,0.34270251011134567,0.2542061980343801,0.3715367827982368,0.06861096928259242
creation,0.13035556977388257,0.13051854129285398,0.08447329957551991,1.0,0.029738803564145565,0.23677358391316655,0.058236649827541245,0.3388508846202857,0.3595131899719741,0.35628695467958527,0.008071374967194976,0.1737205159080595,0.3021472098322202,0.7038856152075144
derivation,0.010590883110678156,0.010061264732020896,0.006768112320557516,0.029738803564145565,1.0,0.1718157735079732,0.03865096280532054,0.1309136531034909,0.19270314232106855,0.2296238372704011,0.4714207897433056,0.41650078050916617,0.22947819419900567,0.042607771627142646
externalDependence,0.11616137607286349,0.296179970079098,0.005681694337891375,0.23677358391316655,0.1718157735079732,1.0,0.15943190900089835,0.3191797698627228,0.5390439435165439,0.4259534960381709,0.2590460354161034,0.03254781023972881,0.15109538728232977,0.2601900462280601
formal,0.05454380064320856,0.019727709296831056,0.024251084891489517,0.058236649827541245,0.03865096280532054,0.15943190900089835,1.0,0.07856051445755906,0.21720440856776133,0.3183143594840419,0.10159138565697073,0.021723679594880745,0.24185953190793685,0.0
historicalDependence,0.2880023054250233,0.16175528321466645,0.15460092603228548,0.3388508846202857,0.1309136531034909,0.3191797698627228,0.07856051445755906,1.0,0.48029963656527436,0.42749352881183256,0.046370246298843204,0.07015504032309677,0.17916346672259628,0.5030329468517981
instantiation,0.17049493091150664,0.257748138438918,0.22583957389988263,0.3595131899719741,0.19270314232106855,0.5390439435165439,0.21720440856776133,0.48029963656527436,1.0,0.7276388849156362,0.11929625570352573,0.05274027826536615,0.1402345445295501,0.4205087028168138
manifestation,0.25284458674648674,0.25889238852456997,0.15565859049818856,0.35628695467958527,0.2296238372704011,0.4259534960381709,0.3183143594840419,0.42749352881183256,0.7276388849156362,1.0,0.1391924618036335,0.050263800794938134,0.07212889918435995,0.4607268091171678
material,0.1920450999986954,0.2673344715515709,0.34270251011134567,0.008071374967194976,0.4714207897433056,0.2590460354161034,0.10159138565697073,0.046370246298843204,0.11929625570352573,0.1391924618036335,1.0,0.430093421008781,0.3214571537623562,0.018085162306203
mediation,0.17402564812835625,0.2661752471888583,0.2542061980343801,0.1737205159080595,0.41650078050916617,0.03254781023972881,0.021723679594880745,0.07015504032309677,0.05274027826536615,0.050263800794938134,0.430093421008781,1.0,0.42281324976384904,0.06790681629640091
memberOf,0.046715643083488724,0.18686153529572133,0.3715367827982368,0.3021472098322202,0.22947819419900567,0.15109538728232977,0.24185953190793685,0.17916346672259628,0.1402345445295501,0.07212889918435995,0.3214571537623562,0.42281324976384904,1.0,0.26148848366870814
participation,0.4517428863413982,0.27797070422642334,0.06861096928259242,0.7038856152075144,0.042607771627142646,0.2601900462280601,0.0,0.5030329468517981,0.4205087028168138,0.4607268091171678,0.018085162306203,0.06790681629640091,0.26148848366870814,1.0
