Stereotype,Stereotype2,Absolute Value,Sign,Classification
creation,characterization,0.13051854129285398,positive,very_weak
derivation,characterization,0.010061264732020896,positive,very_weak
formal,characterization,0.019727709296831056,positive,very_weak
instantiation,characterization,0.257748138438918,positive,weak
manifestation,characterization,0.25889238852456997,positive,weak
material,characterization,0.2673344715515709,positive,weak
mediation,characterization,0.2661752471888583,positive,weak
participation,characterization,0.27797070422642334,positive,weak
characterization,creation,0.13051854129285398,positive,very_weak
derivation,creation,0.029738803564145565,positive,very_weak
formal,creation,0.058236649827541245,positive,very_weak
instantiation,creation,0.3595131899719741,positive,weak
manifestation,creation,0.35628695467958527,positive,weak
material,creation,0.008071374967194976,positive,very_weak
mediation,creation,0.1737205159080595,positive,very_weak
participation,creation,0.7038856152075144,positive,strong
characterization,derivation,0.010061264732020896,positive,very_weak
creation,derivation,0.029738803564145565,positive,very_weak
formal,derivation,0.03865096280532054,positive,very_weak
instantiation,derivation,0.19270314232106855,positive,very_weak
manifestation,derivation,0.2296238372704011,positive,weak
material,derivation,0.4714207897433056,positive,moderate
mediation,derivation,0.41650078050916617,positive,moderate
participation,derivation,0.042607771627142646,positive,very_weak
characterization,formal,0.019727709296831056,positive,very_weak
creation,formal,0.058236649827541245,positive,very_weak
derivation,formal,0.03865096280532054,positive,very_weak
instantiation,formal,0.21720440856776133,positive,weak
manifestation,formal,0.3183143594840419,positive,weak
material,formal,0.10159138565697073,positive,very_weak
mediation,formal,0.021723679594880745,positive,very_weak
participation,formal,0.0,negative,very_weak
characterization,instantiation,0.257748138438918,positive,weak
creation,instantiation,0.3595131899719741,positive,weak
derivation,instantiation,0.19270314232106855,positive,very_weak
formal,instantiation,0.21720440856776133,positive,weak
manifestation,instantiation,0.7276388849156362,positive,strong
material,instantiation,0.11929625570352573,positive,very_weak
mediation,instantiation,0.05274027826536615,positive,very_weak
participation,instantiation,0.4205087028168138,positive,moderate
characterization,manifestation,0.25889238852456997,positive,weak
creation,manifestation,0.35628695467958527,positive,weak
derivation,manifestation,0.2296238372704011,positive,weak
formal,manifestation,0.3183143594840419,positive,weak
instantiation,manifestation,0.7276388849156362,positive,strong
material,manifestation,0.1391924618036335,positive,very_weak
mediation,manifestation,0.050263800794938134,positive,very_weak
participation,manifestation,0.4607268091171678,positive,moderate
characterization,material,0.2673344715515709,positive,weak
creation,material,0.008071374967194976,positive,very_weak
derivation,material,0.4714207897433056,positive,moderate
formal,material,0.10159138565697073,positive,very_weak
instantiation,material,0.11929625570352573,positive,very_weak
manifestation,material,0.1391924618036335,positive,very_weak
mediation,material,0.430093421008781,positive,moderate
participation,material,0.018085162306203,positive,very_weak
characterization,mediation,0.2661752471888583,positive,weak
creation,mediation,0.1737205159080595,positive,very_weak
derivation,mediation,0.41650078050916617,positive,moderate
formal,mediation,0.021723679594880745,positive,very_weak
instantiation,mediation,0.05274027826536615,positive,very_weak
manifestation,mediation,0.050263800794938134,positive,very_weak
material,mediation,0.430093421008781,positive,moderate
participation,mediation,0.06790681629640091,positive,very_weak
characterization,participation,0.27797070422642334,positive,weak
creation,participation,0.7038856152075144,positive,strong
derivation,participation,0.042607771627142646,positive,very_weak
formal,participation,0.0,negative,very_weak
instantiation,participation,0.4205087028168138,positive,moderate
manifestation,participation,0.4607268091171678,positive,moderate
material,participation,0.018085162306203,positive,very_weak
mediation,participation,0.06790681629640091,positive,very_weak
