Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers
bringsAbout,1.0,0.21568494260193488,0.08924486921682022,0.12753003225202228,0.015021413630553898,0.11441823174614837,-0.05762707725721305,0.279712730586145,0.15579970597357898,0.24491507834315546,0.17298410665832242,-0.1862058250809961,-0.05129093147241134,0.47411187208065214,0.6642005028691434
characterization,0.21568494260193488,1.0,0.33220288983380686,0.10604746049596296,0.018663083698528475,0.3,0.020286020648339485,0.15291057030852148,0.25177159820880923,0.23328923745590407,0.2771739468734333,0.2849939866903206,0.18333333333333332,0.26352313834736496,0.25819888974716115
componentOf,0.08924486921682022,0.33220288983380686,1.0,0.08621275981736103,-0.0006269592476489029,0.005598925109558543,0.06133315160574595,0.18445814099390875,0.2574466642686792,0.20444383868581983,0.3004996585402443,0.178075654677945,0.35833120701174676,0.07082142317965111,-0.08962944731806213
creation,0.12753003225202228,0.10604746049596296,0.08621275981736103,1.0,0.026362579448283952,0.2322439384861589,-0.05808458627977691,0.3423003248753746,0.3650837943258458,0.34850751767866145,0.004809860702438818,0.128386830539707,0.29905383859861556,0.704238182012342,-0.0032857603872676277
derivation,0.015021413630553898,0.018663083698528475,-0.0006269592476489029,0.026362579448283952,1.0,-0.17076721584153556,0.06133315160574595,-0.14242970380542322,-0.17880301466499043,-0.2248882225544018,0.5036543572716771,0.4461465326877547,0.24075377971101736,-0.035410711589825554,0.15323744218894494
externalDependence,0.11441823174614837,0.3,0.005598925109558543,0.2322439384861589,-0.17076721584153556,1.0,0.1711632992203644,0.3231973417884659,0.5532349592219887,0.41079191812887456,-0.24567690745599768,0.025649458802128853,0.146875,0.2569350598886808,0.16782927833565472
formal,-0.05762707725721305,0.020286020648339485,0.06133315160574595,-0.05808458627977691,0.06133315160574595,0.1711632992203644,1.0,0.0761386987626881,0.21773839528119807,0.3194444444444444,0.13801311186847084,0.062439054105446264,0.25103950552320115,0.0,0.07856742013183862
historicalDependence,0.279712730586145,0.15291057030852148,0.18445814099390875,0.3423003248753746,-0.14242970380542322,0.3231973417884659,0.0761386987626881,1.0,0.46142985343225057,0.4314526263218992,0.04728662437434604,0.054671325812960206,0.17723725194851353,0.46156633137705094,0.2404772495859806
instantiation,0.15579970597357898,0.25177159820880923,0.2574466642686792,0.3650837943258458,-0.17880301466499043,0.5532349592219887,0.21773839528119807,0.46142985343225057,1.0,0.7257946509373269,-0.1252114729416888,-0.03398844860948943,0.13582415166527867,0.39808585024030335,0.11290715027387556
manifestation,0.24491507834315546,0.23328923745590407,0.20444383868581983,0.34850751767866145,-0.2248882225544018,0.41079191812887456,0.3194444444444444,0.4314526263218992,0.7257946509373269,1.0,-0.13801311186847084,-0.08325207214059502,0.09128709291752768,0.4330127018922193,0.18856180831641267
material,0.17298410665832242,0.2771739468734333,0.3004996585402443,0.004809860702438818,0.5036543572716771,-0.24567690745599768,0.13801311186847084,0.04728662437434604,-0.1252114729416888,-0.13801311186847084,1.0,0.4265617038812147,0.3212698020578431,0.017074694419062765,0.09759000729485333
mediation,-0.1862058250809961,0.2849939866903206,0.178075654677945,0.128386830539707,0.4461465326877547,0.025649458802128853,0.062439054105446264,0.054671325812960206,-0.03398844860948943,-0.08325207214059502,0.4265617038812147,1.0,0.3847418820319328,0.05407380704358751,-0.09124556237559191
memberOf,-0.05129093147241134,0.18333333333333332,0.35833120701174676,0.29905383859861556,0.24075377971101736,0.146875,0.25103950552320115,0.17723725194851353,0.13582415166527867,0.09128709291752768,0.3212698020578431,0.3847418820319328,1.0,0.2569350598886808,-0.10327955589886445
participation,0.47411187208065214,0.26352313834736496,0.07082142317965111,0.704238182012342,-0.035410711589825554,0.2569350598886808,0.0,0.46156633137705094,0.39808585024030335,0.4330127018922193,0.017074694419062765,0.05407380704358751,0.2569350598886808,1.0,0.3265986323710904
triggers,0.6642005028691434,0.25819888974716115,-0.08962944731806213,-0.0032857603872676277,0.15323744218894494,0.16782927833565472,0.07856742013183862,0.2404772495859806,0.11290715027387556,0.18856180831641267,0.09759000729485333,-0.09124556237559191,-0.10327955589886445,0.3265986323710904,1.0
