Stereotype,Stereotype2,Absolute Value,Sign,Classification
characterization,bringsAbout,0.22010798615717486,positive,weak
componentOf,bringsAbout,0.08620109117803146,positive,very_weak
creation,bringsAbout,0.13920321851237027,positive,very_weak
derivation,bringsAbout,0.011673064430358426,positive,very_weak
externalDependence,bringsAbout,0.12533597193640786,positive,very_weak
historicalDependence,bringsAbout,0.2781488905388295,positive,weak
instantiation,bringsAbout,0.16930298484795256,positive,very_weak
manifestation,bringsAbout,0.26641414141414144,positive,weak
material,bringsAbout,0.16991778562603113,positive,very_weak
mediation,bringsAbout,0.18367818150960216,negative,very_weak
memberOf,bringsAbout,0.04381664059565478,negative,very_weak
participation,bringsAbout,0.48706701862994006,positive,moderate
triggers,bringsAbout,0.6636625827793496,positive,strong
bringsAbout,characterization,0.22010798615717486,positive,weak
componentOf,characterization,0.34094775461118765,positive,weak
creation,characterization,0.09164705629470493,positive,very_weak
derivation,characterization,0.02534927543577603,positive,very_weak
externalDependence,characterization,0.29054674572805184,positive,weak
historicalDependence,characterization,0.15783285388956775,positive,very_weak
instantiation,characterization,0.2405103073106242,positive,weak
manifestation,characterization,0.22010798615717486,positive,weak
material,characterization,0.2869588608854427,positive,weak
mediation,characterization,0.28055292387842895,positive,weak
memberOf,characterization,0.1711636769388028,positive,very_weak
participation,characterization,0.2547549538666194,positive,weak
triggers,characterization,0.2623784048525971,positive,weak
bringsAbout,componentOf,0.08620109117803146,positive,very_weak
characterization,componentOf,0.34094775461118765,positive,weak
creation,componentOf,0.10490580836993585,positive,very_weak
derivation,componentOf,0.0070242656449553,negative,very_weak
externalDependence,componentOf,0.021739952376686404,positive,very_weak
historicalDependence,componentOf,0.18119220811688566,positive,very_weak
instantiation,componentOf,0.2824800710924919,positive,weak
manifestation,componentOf,0.23525714467337752,positive,weak
material,componentOf,0.2953146511322912,positive,weak
mediation,componentOf,0.1852136905628935,positive,very_weak
memberOf,componentOf,0.3826231618296807,positive,weak
participation,componentOf,0.0844834378006181,positive,very_weak
triggers,componentOf,0.0930230579191541,negative,very_weak
bringsAbout,creation,0.13920321851237027,positive,very_weak
characterization,creation,0.09164705629470493,positive,very_weak
componentOf,creation,0.10490580836993585,positive,very_weak
derivation,creation,0.043587624604409965,positive,very_weak
externalDependence,creation,0.20037253035827352,positive,weak
historicalDependence,creation,0.36066434055691554,positive,weak
instantiation,creation,0.33573569811254167,positive,weak
manifestation,creation,0.3116489966694857,positive,weak
material,creation,0.024251094575618398,positive,very_weak
mediation,creation,0.11578489186383066,positive,very_weak
memberOf,creation,0.2699579697713978,positive,weak
participation,creation,0.6954612011301518,positive,strong
triggers,creation,0.004531374390478809,positive,very_weak
bringsAbout,derivation,0.011673064430358426,positive,very_weak
characterization,derivation,0.02534927543577603,positive,very_weak
componentOf,derivation,0.0070242656449553,negative,very_weak
creation,derivation,0.043587624604409965,positive,very_weak
externalDependence,derivation,0.15870165234981076,negative,very_weak
historicalDependence,derivation,0.14716921707310363,negative,very_weak
instantiation,derivation,0.16593774668001574,negative,very_weak
manifestation,derivation,0.21191101581266067,negative,weak
material,derivation,0.5000003801008104,positive,moderate
mediation,derivation,0.4549108189264051,positive,moderate
memberOf,derivation,0.2623287586786826,positive,weak
participation,derivation,0.023395413544786546,negative,very_weak
triggers,derivation,0.1507952728373656,positive,very_weak
bringsAbout,externalDependence,0.12533597193640786,positive,very_weak
characterization,externalDependence,0.29054674572805184,positive,weak
componentOf,externalDependence,0.021739952376686404,positive,very_weak
creation,externalDependence,0.20037253035827352,positive,weak
derivation,externalDependence,0.15870165234981076,negative,very_weak
historicalDependence,externalDependence,0.34030813944565275,positive,weak
instantiation,externalDependence,0.5334001242105737,positive,moderate
manifestation,externalDependence,0.37906489073450184,positive,weak
material,externalDependence,0.2329822339462528,negative,weak
mediation,externalDependence,0.011062380084449824,positive,very_weak
memberOf,externalDependence,0.11266447368421052,positive,very_weak
participation,externalDependence,0.23378496578470626,positive,weak
triggers,externalDependence,0.17890479224393555,positive,very_weak
bringsAbout,historicalDependence,0.2781488905388295,positive,weak
characterization,historicalDependence,0.15783285388956775,positive,very_weak
componentOf,historicalDependence,0.18119220811688566,positive,very_weak
creation,historicalDependence,0.36066434055691554,positive,weak
derivation,historicalDependence,0.14716921707310363,negative,very_weak
externalDependence,historicalDependence,0.34030813944565275,positive,weak
instantiation,historicalDependence,0.4848534394742123,positive,moderate
manifestation,historicalDependence,0.46283975385661236,positive,moderate
material,historicalDependence,0.042779263194649864,positive,very_weak
mediation,historicalDependence,0.058782341114762125,positive,very_weak
memberOf,historicalDependence,0.19125497018977317,positive,very_weak
participation,historicalDependence,0.47589539176471807,positive,moderate
triggers,historicalDependence,0.23901712911743575,positive,weak
bringsAbout,instantiation,0.16930298484795256,positive,very_weak
characterization,instantiation,0.2405103073106242,positive,weak
componentOf,instantiation,0.2824800710924919,positive,weak
creation,instantiation,0.33573569811254167,positive,weak
derivation,instantiation,0.16593774668001574,negative,very_weak
externalDependence,instantiation,0.5334001242105737,positive,moderate
historicalDependence,instantiation,0.4848534394742123,positive,moderate
manifestation,instantiation,0.7097702057087242,positive,strong
material,instantiation,0.10804781000383129,negative,very_weak
mediation,instantiation,0.05184067494975952,negative,very_weak
memberOf,instantiation,0.09722071229453808,positive,very_weak
participation,instantiation,0.37780855531567165,positive,weak
triggers,instantiation,0.1242667075393179,positive,very_weak
bringsAbout,manifestation,0.26641414141414144,positive,weak
characterization,manifestation,0.22010798615717486,positive,weak
componentOf,manifestation,0.23525714467337752,positive,weak
creation,manifestation,0.3116489966694857,positive,weak
derivation,manifestation,0.21191101581266067,negative,weak
externalDependence,manifestation,0.37906489073450184,positive,weak
historicalDependence,manifestation,0.46283975385661236,positive,moderate
instantiation,manifestation,0.7097702057087242,positive,strong
material,manifestation,0.1179021369650012,negative,very_weak
mediation,manifestation,0.1078309722295177,negative,very_weak
memberOf,manifestation,0.04075966567037654,positive,very_weak
participation,manifestation,0.4112198093498556,positive,moderate
triggers,manifestation,0.20653399879025405,positive,weak
bringsAbout,material,0.16991778562603113,positive,very_weak
characterization,material,0.2869588608854427,positive,weak
componentOf,material,0.2953146511322912,positive,weak
creation,material,0.024251094575618398,positive,very_weak
derivation,material,0.5000003801008104,positive,moderate
externalDependence,material,0.2329822339462528,negative,weak
historicalDependence,material,0.042779263194649864,positive,very_weak
instantiation,material,0.10804781000383129,negative,very_weak
manifestation,material,0.1179021369650012,negative,very_weak
mediation,material,0.43669548640420475,positive,moderate
memberOf,material,0.3477242350489118,positive,weak
participation,material,0.031999238227894314,positive,very_weak
triggers,material,0.09453839927515664,positive,very_weak
bringsAbout,mediation,0.18367818150960216,negative,very_weak
characterization,mediation,0.28055292387842895,positive,weak
componentOf,mediation,0.1852136905628935,positive,very_weak
creation,mediation,0.11578489186383066,positive,very_weak
derivation,mediation,0.4549108189264051,positive,moderate
externalDependence,mediation,0.011062380084449824,positive,very_weak
historicalDependence,mediation,0.058782341114762125,positive,very_weak
instantiation,mediation,0.05184067494975952,negative,very_weak
manifestation,mediation,0.1078309722295177,negative,very_weak
material,mediation,0.43669548640420475,positive,moderate
memberOf,mediation,0.37833339888818396,positive,weak
participation,mediation,0.04298941798941799,positive,very_weak
triggers,mediation,0.08869047818991888,negative,very_weak
bringsAbout,memberOf,0.04381664059565478,negative,very_weak
characterization,memberOf,0.1711636769388028,positive,very_weak
componentOf,memberOf,0.3826231618296807,positive,weak
creation,memberOf,0.2699579697713978,positive,weak
derivation,memberOf,0.2623287586786826,positive,weak
externalDependence,memberOf,0.11266447368421052,positive,very_weak
historicalDependence,memberOf,0.19125497018977317,positive,very_weak
instantiation,memberOf,0.09722071229453808,positive,very_weak
manifestation,memberOf,0.04075966567037654,positive,very_weak
material,memberOf,0.3477242350489118,positive,weak
mediation,memberOf,0.37833339888818396,positive,weak
participation,memberOf,0.23378496578470626,positive,weak
triggers,memberOf,0.09778647029482192,negative,very_weak
bringsAbout,participation,0.48706701862994006,positive,moderate
characterization,participation,0.2547549538666194,positive,weak
componentOf,participation,0.0844834378006181,positive,very_weak
creation,participation,0.6954612011301518,positive,strong
derivation,participation,0.023395413544786546,negative,very_weak
externalDependence,participation,0.23378496578470626,positive,weak
historicalDependence,participation,0.47589539176471807,positive,moderate
instantiation,participation,0.37780855531567165,positive,weak
manifestation,participation,0.4112198093498556,positive,moderate
material,participation,0.031999238227894314,positive,very_weak
mediation,participation,0.04298941798941799,positive,very_weak
memberOf,participation,0.23378496578470626,positive,weak
triggers,participation,0.33682451267632113,positive,weak
bringsAbout,triggers,0.6636625827793496,positive,strong
characterization,triggers,0.2623784048525971,positive,weak
componentOf,triggers,0.0930230579191541,negative,very_weak
creation,triggers,0.004531374390478809,positive,very_weak
derivation,triggers,0.1507952728373656,positive,very_weak
externalDependence,triggers,0.17890479224393555,positive,very_weak
historicalDependence,triggers,0.23901712911743575,positive,weak
