stereotype,total_correlation,rank
bringsAbout,2.246857102102126,11
characterization,2.7059600995932906,9
componentOf,2.185949082683233,12
creation,3.021092971734003,5
derivation,1.97927429146737,13
externalDependence,2.994343456065713,6
formal,1.296138365111573,14
historicalDependence,3.237605042905008,4
instantiation,3.9660656254144504,1
manifestation,3.895406640672978,2
material,2.73857023542221,8
mediation,2.6326648515524087,10
memberOf,2.9659999763819864,7
participation,3.7158013820010307,3
