Stereotype,average_quantity,rank,proportion
bringsAbout,0,9,0.0
characterization,4,3,0.0851063829787234
comparative,0,9,0.0
componentOf,2,5,0.0425531914893617
creation,0,9,0.0
derivation,1,7,0.02127659574468085
externalDependence,0,9,0.0
historicalDependence,0,9,0.0
instantiation,0,9,0.0
manifestation,0,9,0.0
material,3,4,0.06382978723404255
mediation,7,2,0.14893617021276595
memberOf,0,9,0.0
participation,2,5,0.0425531914893617
participational,0,9,0.0
subCollectionOf,0,9,0.0
subQuantityOf,0,9,0.0
termination,0,9,0.0
triggers,0,9,0.0
none,27,1,0.574468085106383
other,1,7,0.02127659574468085
