Stereotype,characterization,creation,derivation,formal,instantiation,material,mediation,participation,none,other
characterization,1.0,0.1606364691954403,-0.0054240258278319305,0.019184763776336346,0.26386654944943333,0.25784429051115754,0.24859914778846143,0.29321035296066755,0.06105087810946393,0.3947900408194707
creation,0.1606364691954403,1.0,0.03354741667680042,-0.05838911147270181,0.3540275842769026,0.01354448660603189,0.23506162992339594,0.7035332249102307,0.07330007247258014,0.285598003514516
derivation,-0.0054240258278319305,0.03354741667680042,1.0,0.024357087263037654,-0.20768386444708486,0.44125015061137335,0.3888249430510611,-0.05126760015611664,0.05107357811468171,0.13858779653168526
formal,0.019184763776336346,-0.05838911147270181,0.024357087263037654,1.0,0.2166717314157814,0.07478137040732254,-0.007558062208054411,0.05421442100989793,-0.2342986847932083,0.014936855987111444
instantiation,0.26386654944943333,0.3540275842769026,-0.20768386444708486,0.2166717314157814,1.0,-0.11366048406369816,0.08183771443841835,0.44419456013806563,-0.035391590513457305,0.37545652895955045
material,0.25784429051115754,0.01354448660603189,0.44125015061137335,0.07478137040732254,-0.11366048406369816,1.0,0.4336543789841676,0.019155428941472027,-0.3056732075237574,0.26565738425384705
mediation,0.24859914778846143,0.23506162992339594,0.3888249430510611,-0.007558062208054411,0.08183771443841835,0.4336543789841676,1.0,0.08527854707540863,-0.17952612866823062,0.333848886006414
participation,0.29321035296066755,0.7035332249102307,-0.05126760015611664,0.05421442100989793,0.44419456013806563,0.019155428941472027,0.08527854707540863,1.0,0.08656028674537188,0.3738583863166582
none,0.06105087810946393,0.07330007247258014,0.05107357811468171,-0.2342986847932083,-0.035391590513457305,-0.3056732075237574,-0.17952612866823062,0.08656028674537188,1.0,-0.002291812225261694
other,0.3947900408194707,0.285598003514516,0.13858779653168526,0.014936855987111444,0.37545652895955045,0.26565738425384705,0.333848886006414,0.3738583863166582,-0.002291812225261694,1.0
