Stereotype,average_quantity,rank,proportion
abstract,0,12,0.0
category,8,5,0.05755395683453238
collective,1,10,0.007194244604316547
datatype,0,12,0.0
enumeration,0,12,0.0
event,3,7,0.02158273381294964
historicalRole,0,12,0.0
historicalRoleMixin,0,12,0.0
kind,18,4,0.12949640287769784
mixin,1,10,0.007194244604316547
mode,7,6,0.050359712230215826
phase,3,7,0.02158273381294964
phaseMixin,0,12,0.0
quality,0,12,0.0
quantity,0,12,0.0
relator,23,3,0.16546762589928057
role,45,1,0.3237410071942446
roleMixin,0,12,0.0
situation,0,12,0.0
subkind,27,2,0.19424460431654678
type,3,7,0.02158273381294964
