Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,0,0.0,0,0.0,0.0,0.0
category,7,2.3333333333333335,2,0.6666666666666666,0.07608695652173914,0.10526315789473684
collective,1,0.3333333333333333,1,0.3333333333333333,0.010869565217391304,0.05263157894736842
datatype,1,0.3333333333333333,1,0.3333333333333333,0.010869565217391304,0.05263157894736842
enumeration,5,1.6666666666666667,1,0.3333333333333333,0.05434782608695652,0.05263157894736842
event,3,1.0,1,0.3333333333333333,0.03260869565217391,0.05263157894736842
historicalRole,0,0.0,0,0.0,0.0,0.0
historicalRoleMixin,0,0.0,0,0.0,0.0,0.0
kind,25,8.333333333333334,3,1.0,0.2717391304347826,0.15789473684210525
mixin,1,0.3333333333333333,1,0.3333333333333333,0.010869565217391304,0.05263157894736842
mode,3,1.0,1,0.3333333333333333,0.03260869565217391,0.05263157894736842
phase,0,0.0,0,0.0,0.0,0.0
phaseMixin,0,0.0,0,0.0,0.0,0.0
quality,2,0.6666666666666666,1,0.3333333333333333,0.021739130434782608,0.05263157894736842
quantity,6,2.0,1,0.3333333333333333,0.06521739130434782,0.05263157894736842
relator,6,2.0,1,0.3333333333333333,0.06521739130434782,0.05263157894736842
role,5,1.6666666666666667,2,0.6666666666666666,0.05434782608695652,0.10526315789473684
roleMixin,0,0.0,0,0.0,0.0,0.0
situation,4,1.3333333333333333,1,0.3333333333333333,0.043478260869565216,0.05263157894736842
subkind,23,7.666666666666667,2,0.6666666666666666,0.25,0.10526315789473684
type,0,0.0,0,0.0,0.0,0.0
