Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.41197762421849293,2,0.21428571428571427
20.0,4,0.6822968081605791,4,0.41729323308270677
30.0,6,0.8014149391247121,6,0.6090225563909775
40.0,9,0.9157617637380717,9,0.7781954887218046
50.0,11,0.9611714379730174,11,0.8458646616541353
60.0,13,0.9838762750904902,13,0.9060150375939849
70.0,16,0.9962158604804212,16,0.9699248120300752
80.0,18,1.0,18,1.0
90.0,20,1.0,20,1.0
100.0,23,1.0,23,1.0
