Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
role,1445,1,1445,23.774267851266863
subkind,1059,2,2504,41.19776242184929
relator,935,3,3439,56.581112207963145
kind,708,4,4147,68.22968081605791
other,412,5,4559,75.00822639025996
category,312,6,4871,80.1414939124712
mode,296,7,5167,85.01151694636394
none,245,8,5412,89.04244817374136
event,154,9,5566,91.57617637380717
type,139,10,5705,93.86311286607437
phase,137,11,5842,96.11714379730174
collective,70,12,5912,97.2688384336953
mixin,68,13,5980,98.38762750904903
quantity,33,14,6013,98.93056926620599
enumeration,25,15,6038,99.34188877920369
situation,17,16,6055,99.62158604804212
quality,13,17,6068,99.83547219480093
datatype,10,18,6078,100.0
abstract,0,19,6078,100.0
historicalRole,0,20,6078,100.0
historicalRoleMixin,0,21,6078,100.0
phaseMixin,0,22,6078,100.0
roleMixin,0,23,6078,100.0
