Stereotype,category,collective,event,kind,mixin,mode,phase,relator,role,subkind,type,none,other
category,1.0,0.2668882827967268,0.08591165848154882,0.2405790764811389,0.3291248134269718,0.49354481147251045,0.3990309511409879,0.16129378530311264,0.2047397793132204,0.569687542831738,0.42300176934619,0.03033328353917512,0.39606936903736134
collective,0.2668882827967268,1.0,0.34611789755166666,0.2016977028588406,0.3171694735599414,0.4166077881321332,0.16853512726818884,0.18608771202778854,0.12764166673366903,0.14218014973057072,0.22800358198307527,0.19842037931421083,0.09205484214929867
event,0.08591165848154882,0.34611789755166666,1.0,0.31547496746916537,0.039483579161098493,0.17852244650776053,0.05954180062633867,0.3286884588838749,0.07158561525058804,0.04379230108930911,0.26245482491264466,0.3928160133576029,0.38800006534564024
kind,0.2405790764811389,0.2016977028588406,0.31547496746916537,1.0,0.08567177981653518,0.10015528475105497,0.18000679131116495,0.0925684480444893,0.5032664129995156,0.3734687116001838,0.04183011592853391,0.10123550016370848,0.20741999111664403
mixin,0.3291248134269718,0.3171694735599414,0.039483579161098493,0.08567177981653518,1.0,0.41949333620162493,0.4374989641245208,0.1495294934780134,0.43486786118181164,0.16027713130953802,0.5160674894682586,0.024210711202500505,0.06554164336177387
mode,0.49354481147251045,0.4166077881321332,0.17852244650776053,0.10015528475105497,0.41949333620162493,1.0,0.2374158392773012,0.23030947581592415,0.1435533460036665,0.29918509457597325,0.39066477263605587,0.2174555871945281,0.34947863763613773
phase,0.3990309511409879,0.16853512726818884,0.05954180062633867,0.18000679131116495,0.4374989641245208,0.2374158392773012,1.0,0.1189196379247047,0.32502901222703906,0.3666330506531519,0.17900765801508098,0.015599533825738707,0.199614332147971
relator,0.16129378530311264,0.18608771202778854,0.3286884588838749,0.0925684480444893,0.1495294934780134,0.23030947581592415,0.1189196379247047,1.0,0.28746069844736105,0.07954821907488832,0.22759480055293757,0.22313736228166478,0.17856986165793454
role,0.2047397793132204,0.12764166673366903,0.07158561525058804,0.5032664129995156,0.43486786118181164,0.1435533460036665,0.32502901222703906,0.28746069844736105,1.0,0.18443992616614607,0.31011926448358745,0.04312246015748758,0.1379002476929013
subkind,0.569687542831738,0.14218014973057072,0.04379230108930911,0.3734687116001838,0.16027713130953802,0.29918509457597325,0.3666330506531519,0.07954821907488832,0.18443992616614607,1.0,0.33515515724473566,0.06265122437026961,0.03274492069217178
type,0.42300176934619,0.22800358198307527,0.26245482491264466,0.04183011592853391,0.5160674894682586,0.39066477263605587,0.17900765801508098,0.22759480055293757,0.31011926448358745,0.33515515724473566,1.0,0.2282239431307902,0.3399927023131558
none,0.03033328353917512,0.19842037931421083,0.3928160133576029,0.10123550016370848,0.024210711202500505,0.2174555871945281,0.015599533825738707,0.22313736228166478,0.04312246015748758,0.06265122437026961,0.2282239431307902,1.0,0.22193973119909272
other,0.39606936903736134,0.09205484214929867,0.38800006534564024,0.20741999111664403,0.06554164336177387,0.34947863763613773,0.199614332147971,0.17856986165793454,0.1379002476929013,0.03274492069217178,0.3399927023131558,0.22193973119909272,1.0
