year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2005,0.0,0.0037593984962406013,0.0037593984962406013,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0037593984962406013,0.0037593984962406013,0.0037593984962406013,0.0,0.0,0.0037593984962406013,0.0037593984962406013,0.0037593984962406013,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0
2007,0.0,0.0037593984962406013,0.0,0.0037593984962406013,0.0,0.0037593984962406013,0.0,0.0,0.0037593984962406013,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0037593984962406013
2011,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0
2012,0.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.007518796992481203,0.007518796992481203,0.0,0.0,0.007518796992481203,0.0,0.0,0.0
2013,0.0,0.0,0.007518796992481203,0.0037593984962406013,0.0,0.0,0.0,0.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0037593984962406013,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0037593984962406013
2015,0.0,0.02631578947368421,0.015037593984962405,0.007518796992481203,0.011278195488721804,0.011278195488721804,0.0,0.0,0.03007518796992481,0.015037593984962405,0.018796992481203006,0.015037593984962405,0.0,0.0037593984962406013,0.007518796992481203,0.02631578947368421,0.02631578947368421,0.0,0.007518796992481203,0.022556390977443608,0.011278195488721804,0.007518796992481203,0.02631578947368421
2016,0.0,0.011278195488721804,0.007518796992481203,0.0037593984962406013,0.0,0.007518796992481203,0.0,0.0,0.0037593984962406013,0.007518796992481203,0.007518796992481203,0.0,0.0,0.0037593984962406013,0.0037593984962406013,0.015037593984962405,0.007518796992481203,0.0,0.0037593984962406013,0.0037593984962406013,0.0037593984962406013,0.0,0.011278195488721804
2017,0.0,0.018796992481203006,0.0,0.0,0.0,0.022556390977443608,0.0,0.0,0.02631578947368421,0.0037593984962406013,0.011278195488721804,0.007518796992481203,0.0,0.0,0.0037593984962406013,0.015037593984962405,0.03007518796992481,0.0,0.0037593984962406013,0.022556390977443608,0.007518796992481203,0.015037593984962405,0.018796992481203006
2018,0.0,0.02631578947368421,0.011278195488721804,0.0,0.0037593984962406013,0.015037593984962405,0.0,0.0,0.018796992481203006,0.0037593984962406013,0.018796992481203006,0.0037593984962406013,0.0,0.007518796992481203,0.0,0.03007518796992481,0.015037593984962405,0.0,0.007518796992481203,0.03007518796992481,0.007518796992481203,0.0037593984962406013,0.03007518796992481
