Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,0,0.0,0,0.0,0.0,0.0
category,312,8.0,27,0.6923076923076923,0.036406067677946324,0.07219251336898395
collective,70,1.794871794871795,12,0.3076923076923077,0.008168028004667444,0.03208556149732621
datatype,10,0.2564102564102564,6,0.15384615384615385,0.0011668611435239206,0.016042780748663103
enumeration,25,0.6410256410256411,4,0.10256410256410256,0.0029171528588098016,0.0106951871657754
event,154,3.948717948717949,16,0.41025641025641024,0.01796966161026838,0.0427807486631016
historicalRole,0,0.0,0,0.0,0.0,0.0
historicalRoleMixin,0,0.0,0,0.0,0.0,0.0
kind,708,18.153846153846153,29,0.7435897435897436,0.08261376896149358,0.07754010695187166
mixin,68,1.7435897435897436,9,0.23076923076923078,0.007934655775962661,0.02406417112299465
mode,296,7.589743589743589,17,0.4358974358974359,0.03453908984830805,0.045454545454545456
phase,137,3.5128205128205128,9,0.23076923076923078,0.015985997666277712,0.02406417112299465
phaseMixin,0,0.0,0,0.0,0.0,0.0
quality,13,0.3333333333333333,4,0.10256410256410256,0.0015169194865810968,0.0106951871657754
quantity,33,0.8461538461538461,5,0.1282051282051282,0.003850641773628938,0.013368983957219251
relator,935,23.974358974358974,28,0.717948717948718,0.10910151691948658,0.0748663101604278
role,1445,37.05128205128205,26,0.6666666666666666,0.16861143523920655,0.06951871657754011
roleMixin,342,8.76923076923077,19,0.48717948717948717,0.039906651108518085,0.05080213903743316
situation,17,0.4358974358974359,6,0.15384615384615385,0.0019836639439906652,0.016042780748663103
subkind,1059,27.153846153846153,27,0.6923076923076923,0.1235705950991832,0.07219251336898395
type,139,3.5641025641025643,8,0.20512820512820512,0.0162193698949825,0.0213903743315508
bringsAbout,3,0.07692307692307693,1,0.02564102564102564,0.0003500583430571762,0.00267379679144385
characterization,176,4.512820512820513,15,0.38461538461538464,0.020536756126021002,0.040106951871657755
comparative,15,0.38461538461538464,1,0.02564102564102564,0.001750291715285881,0.00267379679144385
componentOf,328,8.41025641025641,16,0.41025641025641024,0.0382730455075846,0.0427807486631016
creation,0,0.0,0,0.0,0.0,0.0
derivation,119,3.051282051282051,10,0.2564102564102564,0.013885647607934655,0.026737967914438502
externalDependence,10,0.2564102564102564,3,0.07692307692307693,0.0011668611435239206,0.008021390374331552
formal,319,8.179487179487179,12,0.3076923076923077,0.03722287047841307,0.03208556149732621
historicalDependence,5,0.1282051282051282,1,0.02564102564102564,0.0005834305717619603,0.00267379679144385
instantiation,2,0.05128205128205128,1,0.02564102564102564,0.00023337222870478414,0.00267379679144385
manifestation,3,0.07692307692307693,1,0.02564102564102564,0.0003500583430571762,0.00267379679144385
material,312,8.0,19,0.48717948717948717,0.036406067677946324,0.05080213903743316
mediation,1342,34.41025641025641,21,0.5384615384615384,0.15659276546091014,0.05614973262032086
memberOf,134,3.4358974358974357,12,0.3076923076923077,0.015635939323220535,0.03208556149732621
participation,15,0.38461538461538464,2,0.05128205128205128,0.001750291715285881,0.0053475935828877
participational,0,0.0,0,0.0,0.0,0.0
subCollectionOf,19,0.48717948717948717,4,0.10256410256410256,0.0022170361726954494,0.0106951871657754
subQuantityOf,3,0.07692307692307693,2,0.05128205128205128,0.0003500583430571762,0.0053475935828877
termination,0,0.0,0,0.0,0.0,0.0
triggers,2,0.05128205128205128,1,0.02564102564102564,0.00023337222870478414,0.00267379679144385
