Stereotype,Stereotype2,Absolute Value,Sign,Classification
event,category,0.07079427191090967,positive,very_weak
kind,category,0.4928158986789492,positive,moderate
mode,category,0.513898728614516,positive,moderate
phase,category,0.43605753803643454,positive,moderate
relator,category,0.342430066418022,positive,weak
role,category,0.3556892255754004,positive,weak
subkind,category,0.6259060860254935,positive,strong
type,category,0.5283375529707313,positive,moderate
characterization,category,0.469885205259286,positive,moderate
derivation,category,0.23812885338619677,positive,weak
formal,category,0.43624910298749897,positive,moderate
material,category,0.49960629577044274,positive,moderate
mediation,category,0.5600443105714873,positive,moderate
category,event,0.07079427191090967,positive,very_weak
kind,event,0.2877227968606011,negative,weak
mode,event,0.14966432071743554,positive,very_weak
phase,event,0.0413890974052972,negative,very_weak
relator,event,0.37496993161650966,negative,weak
role,event,0.027804841685207218,positive,very_weak
subkind,event,0.018394561770408553,positive,very_weak
type,event,0.3105875689125798,positive,weak
characterization,event,0.04928174961191037,positive,very_weak
derivation,event,0.22359086326436448,negative,weak
formal,event,0.16490883469326897,negative,very_weak
material,event,0.08899478832030755,positive,very_weak
mediation,event,0.15547402289739598,negative,very_weak
category,kind,0.4928158986789492,positive,moderate
event,kind,0.2877227968606011,negative,weak
mode,kind,0.23596875678450502,positive,weak
phase,kind,0.17778228588137365,positive,very_weak
relator,kind,0.3658493455191798,positive,weak
role,kind,0.5545199896369416,positive,moderate
subkind,kind,0.5700575310280869,positive,moderate
type,kind,0.2346242946869214,positive,weak
characterization,kind,0.025316089464169692,positive,very_weak
derivation,kind,0.3659504965674156,positive,weak
formal,kind,0.21031977080224545,positive,weak
material,kind,0.6152240831737741,positive,strong
mediation,kind,0.27480320824222143,positive,weak
category,mode,0.513898728614516,positive,moderate
event,mode,0.14966432071743554,positive,very_weak
kind,mode,0.23596875678450502,positive,weak
phase,mode,0.22113222903596638,positive,weak
relator,mode,0.2571797282493036,positive,weak
role,mode,0.2818041877272512,positive,weak
subkind,mode,0.24729632778891295,positive,weak
type,mode,0.47429010988817827,positive,moderate
characterization,mode,0.5635083585549052,positive,moderate
derivation,mode,0.119159968311814,positive,very_weak
formal,mode,0.2897941891165621,positive,weak
material,mode,0.21124069705950255,positive,weak
mediation,mode,0.4663319202312743,positive,moderate
category,phase,0.43605753803643454,positive,moderate
event,phase,0.0413890974052972,negative,very_weak
kind,phase,0.17778228588137365,positive,very_weak
mode,phase,0.22113222903596638,positive,weak
relator,phase,0.19419815613430885,positive,very_weak
role,phase,0.4091569057199877,positive,moderate
subkind,phase,0.36812376628281035,positive,weak
type,phase,0.1842631240468055,positive,very_weak
characterization,phase,0.05325798985805629,positive,very_weak
derivation,phase,0.3805853452463866,positive,weak
formal,phase,0.3245286221944327,positive,weak
material,phase,0.3118983128998426,positive,weak
mediation,phase,0.27806085851438495,positive,weak
category,relator,0.342430066418022,positive,weak
event,relator,0.37496993161650966,negative,weak
kind,relator,0.3658493455191798,positive,weak
mode,relator,0.2571797282493036,positive,weak
phase,relator,0.19419815613430885,positive,very_weak
role,relator,0.5127283338951979,positive,moderate
subkind,relator,0.13326543661830537,positive,very_weak
type,relator,0.29216607836755937,positive,weak
characterization,relator,0.3796903568910611,positive,weak
derivation,relator,0.5575293492414373,positive,moderate
formal,relator,0.4952965525293481,positive,moderate
material,relator,0.44559719802943976,positive,moderate
mediation,relator,0.6941081113119988,positive,strong
category,role,0.3556892255754004,positive,weak
event,role,0.027804841685207218,positive,very_weak
kind,role,0.5545199896369416,positive,moderate
mode,role,0.2818041877272512,positive,weak
phase,role,0.4091569057199877,positive,moderate
relator,role,0.5127283338951979,positive,moderate
subkind,role,0.2886530346131598,positive,weak
type,role,0.42837914969572116,positive,moderate
characterization,role,0.1185352239796805,positive,very_weak
derivation,role,0.33821209110947736,positive,weak
formal,role,0.24865496742045126,positive,weak
material,role,0.5397238583613075,positive,moderate
mediation,role,0.3689037459967516,positive,weak
category,subkind,0.6259060860254935,positive,strong
event,subkind,0.018394561770408553,positive,very_weak
kind,subkind,0.5700575310280869,positive,moderate
mode,subkind,0.24729632778891295,positive,weak
phase,subkind,0.36812376628281035,positive,weak
relator,subkind,0.13326543661830537,positive,very_weak
role,subkind,0.2886530346131598,positive,weak
type,subkind,0.3316797256851612,positive,weak
characterization,subkind,0.04016232797443182,positive,very_weak
derivation,subkind,0.14429085456585097,positive,very_weak
formal,subkind,0.06623910951841333,positive,very_weak
material,subkind,0.439848699006334,positive,moderate
mediation,subkind,0.3266089924157093,positive,weak
category,type,0.5283375529707313,positive,moderate
event,type,0.3105875689125798,positive,weak
kind,type,0.2346242946869214,positive,weak
mode,type,0.47429010988817827,positive,moderate
phase,type,0.1842631240468055,positive,very_weak
relator,type,0.29216607836755937,positive,weak
role,type,0.42837914969572116,positive,moderate
subkind,type,0.3316797256851612,positive,weak
characterization,type,0.34773358440899893,positive,weak
derivation,type,0.04732537279438898,positive,very_weak
formal,type,0.22675252644545732,positive,weak
material,type,0.3177886681225312,positive,weak
mediation,type,0.28719426871239856,positive,weak
category,characterization,0.469885205259286,positive,moderate
event,characterization,0.04928174961191037,positive,very_weak
kind,characterization,0.025316089464169692,positive,very_weak
mode,characterization,0.5635083585549052,positive,moderate
phase,characterization,0.05325798985805629,positive,very_weak
