stereotype,total_correlation,rank
category,6.210756004415133,2
event,4.16671727814084,17
kind,5.275798179629661,11
mode,5.825021034121093,5
phase,4.5858496598248655,15
relator,5.273058165200004,12
role,4.670648224260446,14
roleMixin,4.844632307891755,13
subkind,4.4158205877492795,16
type,5.41431936506765,10
none_c,2.920713125006142,19
characterization,5.8201626366742,6
componentOf,5.755133965259155,7
derivation,5.710314895549449,8
material,6.034794919373243,3
mediation,6.6788996993511125,1
memberOf,5.89746805052572,4
none_r,3.999711017977113,18
other_r,5.488197037636886,9
