Stereotype,Shannon Entropy,Gini Coefficient,Simpson Index
bringsAbout,0.0,0.0,0.0
characterization,0.8112781215737428,0.5,0.625
comparative,0.0,0.0,0.0
componentOf,0.0,0.6666666666666666,1.0
creation,0.0,0.0,0.0
derivation,0.0,0.6666666666666666,1.0
externalDependence,0.0,0.0,0.0
historicalDependence,0.0,0.0,0.0
instantiation,0.0,0.0,0.0
manifestation,0.0,0.0,0.0
material,0.6193821917933737,0.5641025641025641,0.7396449704142012
mediation,0.0,0.6666666666666666,1.0
memberOf,0.0,0.0,0.0
participation,0.0,0.0,0.0
participational,0.0,0.0,0.0
subCollectionOf,0.0,0.0,0.0
subQuantityOf,0.0,0.0,0.0
termination,0.0,0.0,0.0
triggers,0.0,0.0,0.0
none,1.4348619811986425,0.19900497512437812,0.39273780351971477
other,0.4689955907038912,0.6,0.8200000000000001
