Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
bringsAbout,0.11924692639624487,0.11924692639624523,0.0006748417355691497,0.01377428556323243,0.0,0.0077122396090133355,0.08370091713676053,0.009578070151159024,0.11924692639624487,0.11924692639624487,0.11924692639624487,0.017444237500925372,0.06157152694816208,0.009578070151158996,0.11924692639624446,0.0,0.002812969596757864,0.0013679268214664558,0.0,0.11924692639624487,0.11924692639624498,0.006827891005041678
characterization,0.11924692639624523,1.5522355559605487,0.07028429806587504,0.7690710982830251,0.0,0.5490758646875277,0.32015200137221456,0.7405186221955584,0.11924692639624523,0.11924692639624523,0.11924692639624523,0.659444568223184,1.1402320318911778,0.4937990801511325,0.23781901105692071,0.0,0.2608042074989485,0.23781901105692071,0.0,0.11924692639624523,1.256225772276402,0.6294668361723864
comparative,0.0006748417355691497,0.07028429806587504,0.11924692639624487,0.07028429806587476,0.0,0.0077122396090133355,0.0020802691580273647,0.009578070151159024,0.0006748417355691497,0.0006748417355691497,0.0006748417355691497,0.07028429806587443,0.08370091713676059,0.08370091713676052,0.0013679268214664558,0.0,0.002812969596757864,0.0013679268214664558,0.0,0.0006748417355691497,0.11924692639624498,0.006827891005041678
componentOf,0.01377428556323243,0.7690710982830251,0.07028429806587476,1.5387687286491647,0.0,0.6201176749659988,0.06140999421675286,0.613182638325304,0.01377428556323243,0.01377428556323243,0.01377428556323243,0.7835897630822802,0.83126652929899,0.5158782620992328,0.02803963223182926,0.0,0.31842939870653325,0.1888563827265502,0.0,0.01377428556323243,1.071966760322695,0.34351670327822054
creation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derivation,0.0077122396090133355,0.5490758646875277,0.0077122396090133355,0.6201176749659988,0.0,1.0174909662812537,0.09799857348783354,0.6425205570850842,0.0077122396090133355,0.0077122396090133355,0.0077122396090133355,0.8129276818420602,0.7255420890612219,0.3430111627162069,0.015665583172539632,0.0,0.2546919533042313,0.1801436116088378,0.0,0.0077122396090133355,0.777381672582576,0.42902121783818875
externalDependence,0.08370091713676053,0.32015200137221456,0.0020802691580273647,0.06140999421675286,0.0,0.09799857348783354,0.3201520013722143,0.2104831451271284,0.08370091713676053,0.08370091713676053,0.08370091713676053,0.06893414665853993,0.21351397359376117,0.08865358881517522,0.20227300179743585,0.0,0.008681773130718246,0.004218397019216058,0.0,0.08370091713676053,0.2152888830563754,0.1366409474620423
formal,0.009578070151159024,0.7405186221955584,0.009578070151159024,0.613182638325304,0.0,0.6425205570850842,0.2104831451271284,1.2973197936137177,0.009578070151159024,0.009578070151159024,0.009578070151159024,0.6094472070912511,0.9585903184656658,0.5517479715297019,0.1281501548118345,0.0,0.36319581162483006,0.23781901105692044,0.0,0.009578070151159024,0.9016098438062166,0.49460572067489467
historicalDependence,0.11924692639624487,0.11924692639624523,0.0006748417355691497,0.01377428556323243,0.0,0.0077122396090133355,0.08370091713676053,0.009578070151159024,0.11924692639624487,0.11924692639624487,0.11924692639624487,0.017444237500925372,0.06157152694816208,0.009578070151158996,0.11924692639624446,0.0,0.002812969596757864,0.0013679268214664558,0.0,0.11924692639624487,0.11924692639624498,0.006827891005041678
instantiation,0.11924692639624487,0.11924692639624523,0.0006748417355691497,0.01377428556323243,0.0,0.0077122396090133355,0.08370091713676053,0.009578070151159024,0.11924692639624487,0.11924692639624487,0.11924692639624487,0.017444237500925372,0.06157152694816208,0.009578070151158996,0.11924692639624446,0.0,0.002812969596757864,0.0013679268214664558,0.0,0.11924692639624487,0.11924692639624498,0.006827891005041678
manifestation,0.11924692639624487,0.11924692639624523,0.0006748417355691497,0.01377428556323243,0.0,0.0077122396090133355,0.08370091713676053,0.009578070151159024,0.11924692639624487,0.11924692639624487,0.11924692639624487,0.017444237500925372,0.06157152694816208,0.009578070151158996,0.11924692639624446,0.0,0.002812969596757864,0.0013679268214664558,0.0,0.11924692639624487,0.11924692639624498,0.006827891005041678
material,0.017444237500925372,0.659444568223184,0.07028429806587443,0.7835897630822802,0.0,0.8129276818420602,0.06893414665853993,0.6094472070912511,0.017444237500925372,0.017444237500925372,0.017444237500925372,1.6249407077467735,0.9605133166362085,0.3588502328122462,0.03556378467361687,0.0,0.30174486991824256,0.23781901105692083,0.0,0.017444237500925372,1.2426473770101585,0.5489909578605378
mediation,0.06157152694816208,1.1402320318911778,0.08370091713676059,0.83126652929899,0.0,0.7255420890612219,0.21351397359376117,0.9585903184656658,0.06157152694816208,0.06157152694816208,0.06157152694816208,0.9605133166362085,1.9099296622573176,0.5948765589924205,0.1311809832784675,0.0,0.3382913562213218,0.2378190110569206,0.0,0.06157152694816208,1.372035675411879,0.5377343081376129
