year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.2,0.0,0.0,0.0,0.08,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.2
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
2012,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.13333333333333333,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.09090909090909091,0.0,0.0,0.0,0.06060606060606061,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
2014,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.11538461538461539
2015,0.0,0.05213089802130898,0.0,0.0,0.0,0.03729071537290715,0.0,0.10464231354642313,0.0,0.0,0.0,0.0989345509893455,0.4805936073059361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05517503805175038,0.17123287671232876
2016,0.0,0.11888111888111888,0.1048951048951049,0.0,0.0,0.0,0.0,0.17482517482517482,0.0,0.0,0.0,0.006993006993006993,0.17482517482517482,0.0,0.027972027972027972,0.0,0.0,0.0,0.0,0.0,0.22377622377622378,0.16783216783216784
2017,0.0,0.008,0.0,0.0,0.0,0.010666666666666666,0.0,0.0,0.0,0.0,0.0,0.05333333333333334,0.029333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.058666666666666666
2018,0.0,0.06521739130434782,0.0,0.0,0.0,0.021739130434782608,0.0,0.0036231884057971015,0.0,0.007246376811594203,0.010869565217391304,0.050724637681159424,0.057971014492753624,0.0,0.03985507246376811,0.0,0.0,0.0,0.0,0.007246376811594203,0.644927536231884,0.09057971014492754
