year,num_class,ontouml_class,none_class,other_class,num_relation,ontouml_relation,none_relation,other_relation,ratio_class,cumulative_class,cumulative_ratio_class,ratio_ontouml_class,cumulative_ontouml_class,cumulative_ratio_ontouml_class,ratio_none_class,cumulative_none_class,cumulative_ratio_none_class,ratio_other_class,cumulative_other_class,cumulative_ratio_other_class,ratio_relation,cumulative_relation,cumulative_ratio_relation,ratio_ontouml_relation,cumulative_ontouml_relation,cumulative_ratio_ontouml_relation,ratio_none_relation,cumulative_none_relation,cumulative_ratio_none_relation,ratio_other_relation,cumulative_other_relation,cumulative_ratio_other_relation,ratio_ontouml_to_total_class,ratio_none_to_total_class,ratio_other_to_total_class,ratio_ontouml_to_total_relation,ratio_none_to_total_relation,ratio_other_to_total_relation,cumulative_ratio_ontouml_to_total_class,cumulative_ratio_none_to_total_class,cumulative_ratio_other_to_total_class,cumulative_ratio_ontouml_to_total_relation,cumulative_ratio_none_to_total_relation,cumulative_ratio_other_to_total_relation
2005,43,43,0,0,25,21,4,0,0.007074695623560382,43,0.007074695623560382,0.007461391636300538,43,0.007461391636300538,0.0,0,0.0,0.0,0,0.0,0.006957973838018369,25,0.006957973838018369,0.007481296758104738,21,0.007481296758104738,0.005442176870748299,4,0.005442176870748299,0.0,0,0.0,0.007074695623560382,0.0,0.0,0.00584469802393543,0.001113275814082939,0.0,0.007074695623560382,0.0,0.0,0.00584469802393543,0.001113275814082939,0.0
2007,20,16,0,4,20,0,20,0,0.003290556103981573,63,0.010365251727541954,0.0027763317716467117,59,0.01023772340794725,0.0,0,0.0,0.05714285714285714,4,0.05714285714285714,0.0055663790704146955,45,0.012524352908433064,0.0,21,0.007481296758104738,0.027210884353741496,24,0.0326530612244898,0.0,0,0.0,0.0026324448831852583,0.0,0.0006581112207963146,0.0,0.0055663790704146955,0.0,0.00970714050674564,0.0,0.0006581112207963146,0.00584469802393543,0.006679654884497634,0.0
2011,15,15,0,0,7,7,0,0,0.0024679170779861796,78,0.012833168805528134,0.0026028110359187923,74,0.012840534443866042,0.0,0,0.0,0.0,4,0.05714285714285714,0.0019482326746451434,52,0.014472585583078207,0.0024937655860349127,28,0.00997506234413965,0.0,24,0.0326530612244898,0.0,0,0.0,0.0024679170779861796,0.0,0.0,0.0019482326746451434,0.0,0.0,0.01217505758473182,0.0,0.0006581112207963146,0.007792930698580574,0.006679654884497634,0.0
2012,116,116,0,0,60,32,28,0,0.019085225403093122,194,0.031918394208621255,0.02012840534443866,190,0.0329689397883047,0.0,0,0.0,0.0,4,0.05714285714285714,0.016699137211244084,112,0.031171722794322294,0.011400071250445315,60,0.021375133594584966,0.0380952380952381,52,0.0707482993197279,0.0,0,0.0,0.019085225403093122,0.0,0.0,0.008906206512663512,0.007792930698580574,0.0,0.03126028298782494,0.0,0.0006581112207963146,0.016699137211244084,0.014472585583078207,0.0
2013,55,55,0,0,33,33,0,0,0.009049029285949325,249,0.04096742349457058,0.009543640465035572,245,0.042512580253340274,0.0,0,0.0,0.0,4,0.05714285714285714,0.009184525466184246,145,0.04035624826050654,0.011756323477021732,93,0.033131457071606696,0.0,52,0.0707482993197279,0.0,0,0.0,0.009049029285949325,0.0,0.0,0.009184525466184246,0.0,0.0,0.04030931227377427,0.0,0.0006581112207963146,0.025883662677428334,0.014472585583078207,0.0
2014,30,17,7,6,26,13,13,0,0.004935834155972359,279,0.04590325765054294,0.0029498525073746312,262,0.045462432760714905,0.02857142857142857,7,0.02857142857142857,0.08571428571428572,10,0.14285714285714285,0.007236292791539103,171,0.04759254105204565,0.004631278945493409,106,0.037762736017100104,0.017687074829931974,65,0.08843537414965986,0.0,0,0.0,0.002796972688384337,0.0011516946363935505,0.0009871668311944718,0.0036181463957695517,0.0036181463957695517,0.0,0.043106284962158604,0.0011516946363935505,0.0016452780519907865,0.029501809073197886,0.01809073197884776,0.0
2015,4925,4752,158,15,2628,2462,145,21,0.8102994406054623,5204,0.8562026982560053,0.8245705361790734,5014,0.8700329689397883,0.6448979591836734,165,0.673469387755102,0.21428571428571427,25,0.35714285714285715,0.731422209852491,2799,0.7790147509045366,0.8770929818311365,2568,0.9148557178482366,0.19727891156462585,210,0.2857142857142857,0.4117647058823529,21,0.4117647058823529,0.7818361303060217,0.025995393221454426,0.0024679170779861796,0.685221263568049,0.04035624826050654,0.00584469802393543,0.8249424152681804,0.027147087857847977,0.004113195129976966,0.7147230726412469,0.0584469802393543,0.00584469802393543
2016,204,196,0,8,143,102,32,9,0.03356367226061204,5408,0.8897663705166173,0.03401006420267222,5210,0.9040430331424605,0.0,165,0.673469387755102,0.11428571428571428,33,0.4714285714285714,0.03979961035346507,2942,0.8188143612580017,0.03633772711079444,2670,0.951193444959031,0.04353741496598639,242,0.3292517006802721,0.17647058823529413,30,0.5882352941176471,0.03224744981901941,0.0,0.0013162224415926291,0.028388533259114945,0.008906206512663512,0.0025048705816866127,0.8571898650871997,0.027147087857847977,0.005429417571569595,0.7431116059003618,0.06735318675201782,0.008349568605622042
2017,400,312,63,25,375,40,315,20,0.06581112207963145,5808,0.9555774925962488,0.05413846954711088,5522,0.9581815026895714,0.2571428571428571,228,0.9306122448979591,0.35714285714285715,58,0.8285714285714286,0.10436960757027554,3317,0.9231839688282772,0.014250089063056644,2710,0.9654435340220876,0.42857142857142855,557,0.7578231292517007,0.39215686274509803,50,0.9803921568627451,0.05133267522211254,0.010365251727541954,0.004113195129976966,0.011132758140829391,0.08767047035903144,0.0055663790704146955,0.9085225403093122,0.03751233958538993,0.009542612701546561,0.7542443640411912,0.15502365711104926,0.013915947676036738
2018,270,241,17,12,276,97,178,1,0.044422507403751234,6078,1.0,0.041818497310428596,5763,1.0,0.06938775510204082,245,1.0,0.17142857142857143,70,1.0,0.0768160311717228,3593,1.0,0.034556465977912364,2807,1.0,0.24217687074829933,735,1.0,0.0196078431372549,51,1.0,0.03965120105297795,0.002796972688384337,0.0019743336623889436,0.02699693849151127,0.04954077372669079,0.00027831895352073476,0.9481737413622903,0.04030931227377427,0.011516946363935505,0.7812413025327025,0.20456443083774006,0.014194266629557473
