year,category,period,predicted,slope,intercept
2015,none (occurrence),2015-2018,1.2866316403969904,0.4460011675423233,-897.4057209573845
2016,none (occurrence),2015-2018,1.7326328079392397,0.4460011675423233,-897.4057209573845
2017,none (occurrence),2015-2018,2.1786339754816026,0.4460011675423233,-897.4057209573845
2018,none (occurrence),2015-2018,2.624635143023852,0.4460011675423233,-897.4057209573845
2015,none (model-wise),2015-2018,0.6455696202531271,0.13924050632911392,-279.9240506329114
2016,none (model-wise),2015-2018,0.7848101265822152,0.13924050632911392,-279.9240506329114
2017,none (model-wise),2015-2018,0.92405063291136,0.13924050632911392,-279.9240506329114
2018,none (model-wise),2015-2018,1.063291139240448,0.13924050632911392,-279.9240506329114
2019,none (occurrence),2019-2024,2.947210407805854,-0.0020015011258443746,6.988241180885646
2020,none (occurrence),2019-2024,2.9452089066800093,-0.0020015011258443746,6.988241180885646
2021,none (occurrence),2019-2024,2.9432074055541655,-0.0020015011258443746,6.988241180885646
2022,none (occurrence),2019-2024,2.9412059044283207,-0.0020015011258443746,6.988241180885646
2023,none (occurrence),2019-2024,2.939204403302477,-0.0020015011258443746,6.988241180885646
2024,none (occurrence),2019-2024,2.937202902176632,-0.0020015011258443746,6.988241180885646
2019,none (model-wise),2019-2024,1.711874623267036,-0.04339963833634714,89.33574442435192
2020,none (model-wise),2019-2024,1.6684749849306826,-0.04339963833634714,89.33574442435192
2021,none (model-wise),2019-2024,1.6250753465943433,-0.04339963833634714,89.33574442435192
2022,none (model-wise),2019-2024,1.5816757082579898,-0.04339963833634714,89.33574442435192
2023,none (model-wise),2019-2024,1.5382760699216504,-0.04339963833634714,89.33574442435192
2024,none (model-wise),2019-2024,1.494876431585297,-0.04339963833634714,89.33574442435192
2015,other (occurrence),2015-2018,2.5966141272620007,-1.0461179217746641,2110.5242265032102
2016,other (occurrence),2015-2018,1.550496205487434,-1.0461179217746641,2110.5242265032102
2017,other (occurrence),2015-2018,0.5043782837128674,-1.0461179217746641,2110.5242265032102
2018,other (occurrence),2015-2018,-0.541739638062154,-1.0461179217746641,2110.5242265032102
2015,other (model-wise),2015-2018,0.6075949367088356,-0.1518987341772151,306.6835443037973
2016,other (model-wise),2015-2018,0.4556962025316693,-0.1518987341772151,306.6835443037973
2017,other (model-wise),2015-2018,0.3037974683544462,-0.1518987341772151,306.6835443037973
2018,other (model-wise),2015-2018,0.1518987341772231,-0.1518987341772151,306.6835443037973
2019,other (occurrence),2019-2024,0.6988574764406508,-0.15344841964806935,310.5112167458927
2020,other (occurrence),2019-2024,0.5454090567926073,-0.15344841964806935,310.5112167458927
2021,other (occurrence),2019-2024,0.391960637144507,-0.15344841964806935,310.5112167458927
2022,other (occurrence),2019-2024,0.23851221749646356,-0.15344841964806935,310.5112167458927
2023,other (occurrence),2019-2024,0.08506379784836327,-0.15344841964806935,310.5112167458927
2024,other (occurrence),2019-2024,-0.06838462179968019,-0.15344841964806935,310.5112167458927
2019,other (model-wise),2019-2024,0.7655213984327816,-0.13743218806509952,278.2411091018687
2020,other (model-wise),2019-2024,0.6280892103676479,-0.13743218806509952,278.2411091018687
2021,other (model-wise),2019-2024,0.490657022302571,-0.13743218806509952,278.2411091018687
2022,other (model-wise),2019-2024,0.35322483423743734,-0.13743218806509952,278.2411091018687
2023,other (model-wise),2019-2024,0.2157926461723605,-0.13743218806509952,278.2411091018687
2024,other (model-wise),2019-2024,0.07836045810728365,-0.13743218806509952,278.2411091018687
