year,category,period,predicted,slope,intercept
2015,none (occurrence),2015-2018,8.314750890036521,23.854812707641777,-48059.132855008145
2016,none (occurrence),2015-2018,32.16956359767937,23.854812707641777,-48059.132855008145
2017,none (occurrence),2015-2018,56.02437630532222,23.854812707641777,-48059.132855008145
2018,none (occurrence),2015-2018,79.8791890129578,23.854812707641777,-48059.132855008145
2015,none (model-wise),2015-2018,15.409644939056307,5.512983571807101,-11093.252252252252
2016,none (model-wise),2015-2018,20.922628510863433,5.512983571807101,-11093.252252252252
2017,none (model-wise),2015-2018,26.43561208267056,5.512983571807101,-11093.252252252252
2018,none (model-wise),2015-2018,31.948595654477685,5.512983571807101,-11093.252252252252
2019,none (occurrence),2019-2024,44.45431095910499,-2.891822621762362,5883.044184297314
2020,none (occurrence),2019-2024,41.562488337342984,-2.891822621762362,5883.044184297314
2021,none (occurrence),2019-2024,38.67066571558098,-2.891822621762362,5883.044184297314
2022,none (occurrence),2019-2024,35.77884309381807,-2.891822621762362,5883.044184297314
2023,none (occurrence),2019-2024,32.887020472056065,-2.891822621762362,5883.044184297314
2024,none (occurrence),2019-2024,29.995197850293152,-2.891822621762362,5883.044184297314
2019,none (model-wise),2019-2024,21.192954201072553,-1.7122726323694846,3478.271398955062
2020,none (model-wise),2019-2024,19.480681568703403,-1.7122726323694846,3478.271398955062
2021,none (model-wise),2019-2024,17.7684089363338,-1.7122726323694846,3478.271398955062
2022,none (model-wise),2019-2024,16.056136303964195,-1.7122726323694846,3478.271398955062
2023,none (model-wise),2019-2024,14.34386367159459,-1.7122726323694846,3478.271398955062
2024,none (model-wise),2019-2024,12.631591039225441,-1.7122726323694846,3478.271398955062
2015,other (occurrence),2015-2018,17.783217986434465,-5.005893173731171,10104.657963054744
2016,other (occurrence),2015-2018,12.777324812703228,-5.005893173731171,10104.657963054744
2017,other (occurrence),2015-2018,7.77143163897199,-5.005893173731171,10104.657963054744
2018,other (occurrence),2015-2018,2.765538465240752,-5.005893173731171,10104.657963054744
2015,other (model-wise),2015-2018,12.598657481010378,-2.0189012541953715,4080.684684684684
2016,other (model-wise),2015-2018,10.57975622681488,-2.0189012541953715,4080.684684684684
2017,other (model-wise),2015-2018,8.560854972619381,-2.0189012541953715,4080.684684684684
2018,other (model-wise),2015-2018,6.541953718424338,-2.0189012541953715,4080.684684684684
2019,other (occurrence),2019-2024,17.160285377834953,-4.161091613229962,8418.404252489128
2020,other (occurrence),2019-2024,12.999193764606389,-4.161091613229962,8418.404252489128
2021,other (occurrence),2019-2024,8.838102151376006,-4.161091613229962,8418.404252489128
2022,other (occurrence),2019-2024,4.677010538145623,-4.161091613229962,8418.404252489128
2023,other (occurrence),2019-2024,0.5159189249152405,-4.161091613229962,8418.404252489128
2024,other (occurrence),2019-2024,-3.6451726883151423,-4.161091613229962,8418.404252489128
2019,other (model-wise),2019-2024,11.70137317409808,-2.511073142037392,5081.558046947593
2020,other (model-wise),2019-2024,9.190300032060804,-2.511073142037392,5081.558046947593
2021,other (model-wise),2019-2024,6.679226890022619,-2.511073142037392,5081.558046947593
2022,other (model-wise),2019-2024,4.168153747985343,-2.511073142037392,5081.558046947593
2023,other (model-wise),2019-2024,1.6570806059480674,-2.511073142037392,5081.558046947593
2024,other (model-wise),2019-2024,-0.8539925360892084,-2.511073142037392,5081.558046947593
