year,category,period,predicted,a (quad),b (linear),intercept
2015,none (occurrence),2015-2018,1.1294168651802465,-0.06503360115573287,262.69456071866006,-265277.3571786994
2016,none (occurrence),2015-2018,1.6735313250101171,-0.06503360115573287,262.69456071866006,-265277.3571786994
2017,none (occurrence),2015-2018,2.087578582635615,-0.06503360115573287,262.69456071866006,-265277.3571786994
2018,none (occurrence),2015-2018,2.371558637882117,-0.06503360115573287,262.69456071866006,-265277.3571786994
2015,none (model-wise),2015-2018,0.723234624019824,0.14236902056347844,-574.0489751943312,578659.1517338521
2016,none (model-wise),2015-2018,0.5637813210487366,0.14236902056347844,-574.0489751943312,578659.1517338521
2017,none (model-wise),2015-2018,0.6890660591889173,0.14236902056347844,-574.0489751943312,578659.1517338521
2018,none (model-wise),2015-2018,1.0990888385567814,0.14236902056347844,-574.0489751943312,578659.1517338521
2019,none (occurrence),2019-2024,1.164798239711672,-0.38962094714406703,1575.4400225171967,-1592576.6069428439
2020,none (occurrence),2019-2024,2.925815242342651,-0.38962094714406703,1575.4400225171967,-1592576.6069428439
2021,none (occurrence),2019-2024,3.907590350136161,-0.38962094714406703,1575.4400225171967,-1592576.6069428439
2022,none (occurrence),2019-2024,4.1101235640235245,-0.38962094714406703,1575.4400225171967,-1592576.6069428439
2023,none (occurrence),2019-2024,3.53341488330625,-0.38962094714406703,1575.4400225171967,-1592576.6069428439
2024,none (occurrence),2019-2024,2.17746430891566,-0.38962094714406703,1575.4400225171967,-1592576.6069428439
2019,none (model-wise),2019-2024,0.9315001625800505,-0.12406443218497998,501.6998862421913,-507199.7259768245
2020,none (model-wise),2019-2024,1.535144809691701,-0.12406443218497998,501.6998862421913,-507199.7259768245
2021,none (model-wise),2019-2024,1.890660592354834,-0.12406443218497998,501.6998862421913,-507199.7259768245
2022,none (model-wise),2019-2024,1.9980475106276572,-0.12406443218497998,501.6998862421913,-507199.7259768245
2023,none (model-wise),2019-2024,1.857305564568378,-0.12406443218497998,501.6998862421913,-507199.7259768245
2024,none (model-wise),2019-2024,1.4684347542352043,-0.12406443218497998,501.6998862421913,-507199.7259768245
2015,other (occurrence),2015-2018,3.071753738448024,0.6611749408643846,-2667.4897049425845,2690475.8029419505
2016,other (occurrence),2015-2018,0.7782354205846786,0.6611749408643846,-2667.4897049425845,2690475.8029419505
2017,other (occurrence),2015-2018,-0.1929330164566636,0.6611749408643846,-2667.4897049425845,2690475.8029419505
2018,other (occurrence),2015-2018,0.15824842872098088,0.6611749408643846,-2667.4897049425845,2690475.8029419505
2015,other (model-wise),2015-2018,0.6605922550079413,0.11389521648402479,-459.47608233962575,463404.7611577514
2016,other (model-wise),2015-2018,0.29612756246933714,0.11389521648402479,-459.47608233962575,463404.7611577514
2017,other (model-wise),2015-2018,0.15945330302929506,0.11389521648402479,-459.47608233962575,463404.7611577514
2018,other (model-wise),2015-2018,0.25056947639677674,0.11389521648402479,-459.47608233962575,463404.7611577514
2019,other (occurrence),2019-2024,0.8779536099755205,0.07432411511126702,-300.62091617736064,303982.58351662155
2020,other (occurrence),2019-2024,0.45213836699258536,0.07432411511126702,-300.62091617736064,303982.58351662155
2021,other (occurrence),2019-2024,0.17497135425219312,0.07432411511126702,-300.62091617736064,303982.58351662155
2022,other (occurrence),2019-2024,0.04645257181255147,0.07432411511126702,-300.62091617736064,303982.58351662155
2023,other (occurrence),2019-2024,0.06658201949903741,0.07432411511126702,-300.62091617736064,303982.58351662155
2024,other (occurrence),2019-2024,0.23535969736985862,0.07432411511126702,-300.62091617736064,303982.58351662155
2019,other (model-wise),2019-2024,0.6671005532450351,1.1903075747277114e-11,-0.10738696644499084,217.48133728444776
2020,other (model-wise),2019-2024,0.5597136348765446,1.1903075747277114e-11,-0.10738696644499084,217.48133728444776
2021,other (model-wise),2019-2024,0.4523267165318998,1.1903075747277114e-11,-0.10738696644499084,217.48133728444776
2022,other (model-wise),2019-2024,0.3449397982110156,1.1903075747277114e-11,-0.10738696644499084,217.48133728444776
2023,other (model-wise),2019-2024,0.23755287991397722,1.1903075747277114e-11,-0.10738696644499084,217.48133728444776
2024,other (model-wise),2019-2024,0.1301659616407278,1.1903075747277114e-11,-0.10738696644499084,217.48133728444776
