year,category,period,predicted,slope,intercept
2015,none (occurrence),2015-2018,-0.2626956853755473,2.8854524627720495,-5814.449408171055
2016,none (occurrence),2015-2018,2.6227567773967166,2.8854524627720495,-5814.449408171055
2017,none (occurrence),2015-2018,5.508209240168071,2.8854524627720495,-5814.449408171055
2018,none (occurrence),2015-2018,8.393661702940335,2.8854524627720495,-5814.449408171055
2015,none (model-wise),2015-2018,0.3295932678825011,1.1360448807854133,-2288.8008415147256
2016,none (model-wise),2015-2018,1.4656381486674945,1.1360448807854133,-2288.8008415147256
2017,none (model-wise),2015-2018,2.6016830294529427,1.1360448807854133,-2288.8008415147256
2018,none (model-wise),2015-2018,3.737727910238391,1.1360448807854133,-2288.8008415147256
2019,none (occurrence),2019-2024,6.468660907873982,-1.1293336588465313,2286.5933181190208
2020,none (occurrence),2019-2024,5.339327249027519,-1.1293336588465313,2286.5933181190208
2021,none (occurrence),2019-2024,4.209993590181057,-1.1293336588465313,2286.5933181190208
2022,none (occurrence),2019-2024,3.080659931334594,-1.1293336588465313,2286.5933181190208
2023,none (occurrence),2019-2024,1.9513262724881315,-1.1293336588465313,2286.5933181190208
2024,none (occurrence),2019-2024,0.8219926136416689,-1.1293336588465313,2286.5933181190208
2019,none (model-wise),2019-2024,1.9182274039523008,-0.1507928655432958,306.3690229358665
2020,none (model-wise),2019-2024,1.7674345384089634,-0.1507928655432958,306.3690229358665
2021,none (model-wise),2019-2024,1.6166416728656827,-0.1507928655432958,306.3690229358665
2022,none (model-wise),2019-2024,1.465848807322402,-0.1507928655432958,306.3690229358665
2023,none (model-wise),2019-2024,1.3150559417791214,-0.1507928655432958,306.3690229358665
2024,none (model-wise),2019-2024,1.164263076235784,-0.1507928655432958,306.3690229358665
2015,other (occurrence),2015-2018,5.584252728039928,0.7889310906131305,-1584.111894857418
2016,other (occurrence),2015-2018,6.373183818652933,0.7889310906131305,-1584.111894857418
2017,other (occurrence),2015-2018,7.162114909266165,0.7889310906131305,-1584.111894857418
2018,other (occurrence),2015-2018,7.95104599987917,0.7889310906131305,-1584.111894857418
2015,other (model-wise),2015-2018,1.9670406732120682,1.2613955119214584,-2539.7449158485265
2016,other (model-wise),2015-2018,3.2284361851334324,1.2613955119214584,-2539.7449158485265
2017,other (model-wise),2015-2018,4.489831697055251,1.2613955119214584,-2539.7449158485265
2018,other (model-wise),2015-2018,5.751227208976616,1.2613955119214584,-2539.7449158485265
2019,other (occurrence),2019-2024,2.765953682519921,-0.5786386021469706,1171.0372914172535
2020,other (occurrence),2019-2024,2.187315080372855,-0.5786386021469706,1171.0372914172535
2021,other (occurrence),2019-2024,1.6086764782260161,-0.5786386021469706,1171.0372914172535
2022,other (occurrence),2019-2024,1.03003787607895,-0.5786386021469706,1171.0372914172535
2023,other (occurrence),2019-2024,0.4513992739318837,-0.5786386021469706,1171.0372914172535
2024,other (occurrence),2019-2024,-0.1272393282149551,-0.5786386021469706,1171.0372914172535
2019,other (model-wise),2019-2024,2.639963295179655,-0.4883790082141843,988.6771808796177
2020,other (model-wise),2019-2024,2.1515842869654307,-0.4883790082141843,988.6771808796177
2021,other (model-wise),2019-2024,1.6632052787513203,-0.4883790082141843,988.6771808796177
2022,other (model-wise),2019-2024,1.1748262705370962,-0.4883790082141843,988.6771808796177
2023,other (model-wise),2019-2024,0.6864472623228721,-0.4883790082141843,988.6771808796177
2024,other (model-wise),2019-2024,0.19806825410876172,-0.4883790082141843,988.6771808796177
