year,category,period,predicted,a (quad),b (linear),intercept
2021,none (occurrence),2019-2024,1.4354066969826818,0.8133971286547421,-3289.904304067244,3326625.452366893
2022,none (occurrence),2019-2024,0.0956937805749476,0.8133971286547421,-3289.904304067244,3326625.452366893
2023,none (occurrence),2019-2024,0.3827751213684678,0.8133971286547421,-3289.904304067244,3326625.452366893
2021,none (model-wise),2019-2024,1.129943503299728,0.2824858755211608,-1142.6553664839064,1155510.7337079528
2022,none (model-wise),2019-2024,0.5649717517662793,0.2824858755211608,-1142.6553664839064,1155510.7337079528
2023,none (model-wise),2019-2024,0.5649717508349568,0.2824858755211608,-1142.6553664839064,1155510.7337079528
2021,other (occurrence),2019-2024,0.0956937799055595,0.047846889920833746,-193.54066972980996,195717.99030258573
2022,other (occurrence),2019-2024,2.9103830456733704e-11,0.047846889920833746,-193.54066972980996,195717.99030258573
2023,other (occurrence),2019-2024,-2.9103830456733704e-11,0.047846889920833746,-193.54066972980996,195717.99030258573
2021,other (model-wise),2019-2024,0.5649717517662793,0.2824858755211608,-1142.6553664839064,1155510.1687362012
2022,other (model-wise),2019-2024,2.3283064365386963e-10,0.2824858755211608,-1142.6553664839064,1155510.1687362012
2023,other (model-wise),2019-2024,-6.984919309616089e-10,0.2824858755211608,-1142.6553664839064,1155510.1687362012
