year,category,period,predicted,a (quad),b (linear),intercept
2021,none (occurrence),2019-2024,25.42372877895832,13.369890320267587,-54078.195378370976,54683530.093812466
2022,none (occurrence),2019-2024,1.6949152573943138,13.369890320267587,-54078.195378370976,54683530.093812466
2023,none (occurrence),2019-2024,4.705882363021374,13.369890320267587,-54078.195378370976,54683530.093812466
2021,none (model-wise),2019-2024,20.0,3.0555555535556778,-12361.111103022235,12501589.15848743
2022,none (model-wise),2019-2024,12.500000001862645,3.0555555535556778,-12361.111103022235,12501589.15848743
2023,none (model-wise),2019-2024,11.111111113801599,3.0555555535556778,-12361.111103022235,12501589.15848743
2021,other (occurrence),2019-2024,1.6949152536690235,0.8474576265639371,-3427.966099451719,3466530.5062067444
2022,other (occurrence),2019-2024,4.656612873077393e-10,0.8474576265639371,-3427.966099451719,3466530.5062067444
2023,other (occurrence),2019-2024,-4.656612873077393e-10,0.8474576265639371,-3427.966099451719,3466530.5062067444
2021,other (model-wise),2019-2024,9.999999985098839,4.999999996729457,-20224.999986765142,20452529.98661068
2022,other (model-wise),2019-2024,3.725290298461914e-09,4.999999996729457,-20224.999986765142,20452529.98661068
2023,other (model-wise),2019-2024,3.725290298461914e-09,4.999999996729457,-20224.999986765142,20452529.98661068
