year,category,period,predicted,slope,intercept
2021,none (occurrence),2019-2024,18.72110939907543,-3.620955315870568,7336.671802773493
2022,none (occurrence),2019-2024,15.10015408320487,-3.620955315870568,7336.671802773493
2023,none (occurrence),2019-2024,11.47919876733431,-3.620955315870568,7336.671802773493
2021,none (model-wise),2019-2024,18.055555555555202,-1.6666666666666672,3386.3888888888896
2022,none (model-wise),2019-2024,16.388888888888687,-1.6666666666666672,3386.3888888888896
2023,none (model-wise),2019-2024,14.722222222221717,-1.6666666666666672,3386.3888888888896
2021,other (occurrence),2019-2024,1.4124293785312148,-0.8474576271186436,1714.1242937853099
2022,other (occurrence),2019-2024,0.5649717514124859,-0.8474576271186436,1714.1242937853099
2023,other (occurrence),2019-2024,-0.2824858757060156,-0.8474576271186436,1714.1242937853099
2021,other (model-wise),2019-2024,8.33333333333394,-4.999999999999997,10113.333333333328
2022,other (model-wise),2019-2024,3.3333333333339397,-4.999999999999997,10113.333333333328
2023,other (model-wise),2019-2024,-1.6666666666660603,-4.999999999999997,10113.333333333328
