year,category,period,predicted,a (quad),b (linear),intercept
2021,none (occurrence),2019-2024,1.7123287660069764,0.9703196340683462,-3924.60045405282,3968405.933475766
2022,none (occurrence),2019-2024,0.11415525153279305,0.9703196340683462,-3924.60045405282,3968405.933475766
2023,none (occurrence),2019-2024,0.4566210056655109,0.9703196340683462,-3924.60045405282,3968405.933475766
2021,none (model-wise),2019-2024,1.2269938648678362,0.306748466056888,-1240.7975452003152,1254757.0543938403
2022,none (model-wise),2019-2024,0.6134969326667488,0.306748466056888,-1240.7975452003152,1254757.0543938403
2023,none (model-wise),2019-2024,0.6134969322010875,0.306748466056888,-1240.7975452003152,1254757.0543938403
2021,other (occurrence),2019-2024,0.11415525109623559,0.05707762553342377,-230.8789952827071,233476.36971023926
2022,other (occurrence),2019-2024,5.820766091346741e-11,0.05707762553342377,-230.8789952827071,233476.36971023926
2023,other (occurrence),2019-2024,5.820766091346741e-11,0.05707762553342377,-230.8789952827071,233476.36971023926
2021,other (model-wise),2019-2024,0.6134969322010875,0.306748466056888,-1240.7975452003152,1254756.4408969076
2022,other (model-wise),2019-2024,0.0,0.306748466056888,-1240.7975452003152,1254756.4408969076
2023,other (model-wise),2019-2024,-4.656612873077393e-10,0.306748466056888,-1240.7975452003152,1254756.4408969076
