year,category,period,predicted,a (quad),b (linear),intercept
2015,none (occurrence),2015-2018,1.0000305511057377,-1.5613954725076837,6299.609392961468,-6354094.994424297
2016,none (occurrence),2015-2018,6.624273833818734,-1.5613954725076837,6299.609392961468,-6354094.994424297
2017,none (occurrence),2015-2018,9.125726171769202,-1.5613954725076837,6299.609392961468,-6354094.994424297
2018,none (occurrence),2015-2018,8.504387564957142,-1.5613954725076837,6299.609392961468,-6354094.994424297
2015,none (model-wise),2015-2018,1.4142798776738346,-0.7495770885579986,3023.4830611661037,-3048865.3195794206
2016,none (model-wise),2015-2018,3.352097067050636,-0.7495770885579986,3023.4830611661037,-3048865.3195794206
2017,none (model-wise),2015-2018,3.79076007893309,-0.7495770885579986,3023.4830611661037,-3048865.3195794206
2018,none (model-wise),2015-2018,2.730268913321197,-0.7495770885579986,3023.4830611661037,-3048865.3195794206
2019,none (occurrence),2019-2024,3.5703635890968144,-0.39696383549994607,1604.0751128591799,-1620456.1850566997
2020,none (occurrence),2019-2024,4.308544863481075,-0.39696383549994607,1604.0751128591799,-1620456.1850566997
2021,none (occurrence),2019-2024,4.252798467408866,-0.39696383549994607,1604.0751128591799,-1620456.1850566997
2022,none (occurrence),2019-2024,3.4031244004145265,-0.39696383549994607,1604.0751128591799,-1620456.1850566997
2023,none (occurrence),2019-2024,1.7595226624980569,-0.39696383549994607,1604.0751128591799,-1620456.1850566997
2024,none (occurrence),2019-2024,-0.6780067465733737,-0.39696383549994607,1604.0751128591799,-1620456.1850566997
2019,none (model-wise),2019-2024,0.5525393190328032,-0.3955387833136683,1599.1793189172652,-1616383.622067351
2020,none (model-wise),2019-2024,2.150712432572618,-0.3955387833136683,1599.1793189172652,-1616383.622067351
2021,none (model-wise),2019-2024,2.9578079793136567,-0.3955387833136683,1599.1793189172652,-1616383.622067351
2022,none (model-wise),2019-2024,2.973825959255919,-0.3955387833136683,1599.1793189172652,-1616383.622067351
2023,none (model-wise),2019-2024,2.198766372865066,-0.3955387833136683,1599.1793189172652,-1616383.622067351
2024,none (model-wise),2019-2024,0.6326292199082673,-0.3955387833136683,1599.1793189172652,-1616383.622067351
2015,other (occurrence),2015-2018,0.16229761764407158,-1.355638915137206,5468.7665506604735,-5515365.423070274
2016,other (occurrence),2015-2018,4.348381360061467,-1.355638915137206,5468.7665506604735,-5515365.423070274
2017,other (occurrence),2015-2018,5.823187272064388,-1.355638915137206,5468.7665506604735,-5515365.423070274
2018,other (occurrence),2015-2018,4.58671535551548,-1.355638915137206,5468.7665506604735,-5515365.423070274
2015,other (model-wise),2015-2018,2.666840045058052,0.023805743121457112,-95.32967028976331,95435.27910859993
2016,other (model-wise),2015-2018,3.2981202778901206,0.023805743121457112,-95.32967028976331,95435.27910859993
2017,other (model-wise),2015-2018,3.9770119969616644,0.023805743121457112,-95.32967028976331,95435.27910859993
2018,other (model-wise),2015-2018,4.703515202272683,0.023805743121457112,-95.32967028976331,95435.27910859993
2019,other (occurrence),2019-2024,3.195750590180978,0.1821847101567755,-737.1605074580256,745679.6130289601
2020,other (occurrence),2019-2024,1.8792874553473666,0.1821847101567755,-737.1605074580256,745679.6130289601
2021,other (occurrence),2019-2024,0.9271937408484519,0.1821847101567755,-737.1605074580256,745679.6130289601
2022,other (occurrence),2019-2024,0.33946944668423384,0.1821847101567755,-737.1605074580256,745679.6130289601
2023,other (occurrence),2019-2024,0.11611457273829728,0.1821847101567755,-737.1605074580256,745679.6130289601
2024,other (occurrence),2019-2024,0.2571291192434728,0.1821847101567755,-737.1605074580256,745679.6130289601
2019,other (model-wise),2019-2024,2.3051500475849025,-0.09448403840013953,381.5024842939412,-385100.1613825886
2020,other (model-wise),2019-2024,2.186603243346326,-0.09448403840013953,381.5024842939412,-385100.1613825886
2021,other (model-wise),2019-2024,1.8790883623878472,-0.09448403840013953,381.5024842939412,-385100.1613825886
2022,other (model-wise),2019-2024,1.3826054044766352,-0.09448403840013953,381.5024842939412,-385100.1613825886
2023,other (model-wise),2019-2024,0.697154369787313,-0.09448403840013953,381.5024842939412,-385100.1613825886
2024,other (model-wise),2019-2024,-0.17726474156370386,-0.09448403840013953,381.5024842939412,-385100.1613825886
