year,category,period,predicted,slope,intercept
2019,none (occurrence),2019-2024,0.425081460163085,-0.02183297772043864,44.505863477728695
2020,none (occurrence),2019-2024,0.4032484824426419,-0.02183297772043864,44.505863477728695
2021,none (occurrence),2019-2024,0.38141550472220587,-0.02183297772043864,44.505863477728695
2022,none (occurrence),2019-2024,0.35958252700176985,-0.02183297772043864,44.505863477728695
2023,none (occurrence),2019-2024,0.3377495492813267,-0.02183297772043864,44.505863477728695
2024,none (occurrence),2019-2024,0.3159165715608907,-0.02183297772043864,44.505863477728695
2019,none (model-wise),2019-2024,0.33696905205285077,-0.010641127959563698,21.821406402411956
2020,none (model-wise),2019-2024,0.3263279240932846,-0.010641127959563698,21.821406402411956
2021,none (model-wise),2019-2024,0.31568679613372197,-0.010641127959563698,21.821406402411956
2022,none (model-wise),2019-2024,0.30504566817415935,-0.010641127959563698,21.821406402411956
2023,none (model-wise),2019-2024,0.2944045402145967,-0.010641127959563698,21.821406402411956
2024,none (model-wise),2019-2024,0.28376341225503054,-0.010641127959563698,21.821406402411956
2019,other (occurrence),2019-2024,0.405233298599029,-0.06946856547412296,140.66226699085328
2020,other (occurrence),2019-2024,0.33576473312490407,-0.06946856547412296,140.66226699085328
2021,other (occurrence),2019-2024,0.2662961676507791,-0.06946856547412296,140.66226699085328
2022,other (occurrence),2019-2024,0.19682760217665418,-0.06946856547412296,140.66226699085328
2023,other (occurrence),2019-2024,0.12735903670252924,-0.06946856547412296,140.66226699085328
2024,other (occurrence),2019-2024,0.057890471228404294,-0.06946856547412296,140.66226699085328
2019,other (model-wise),2019-2024,0.4522479382814595,-0.06916733173716413,140.10109071561584
2020,other (model-wise),2019-2024,0.3830806065442971,-0.06916733173716413,140.10109071561584
2021,other (model-wise),2019-2024,0.3139132748071347,-0.06916733173716413,140.10109071561584
2022,other (model-wise),2019-2024,0.24474594306997233,-0.06916733173716413,140.10109071561584
2023,other (model-wise),2019-2024,0.17557861133280994,-0.06916733173716413,140.10109071561584
2024,other (model-wise),2019-2024,0.10641127959561913,-0.06916733173716413,140.10109071561584
