year,category,period,predicted,a (quad),b (linear),intercept
2019,none (occurrence),2019-2024,1.4550768595654517,-0.3552922179203506,1436.2522817305255,-1451492.561003053
2020,none (occurrence),2019-2024,2.6820904097985476,-0.3552922179203506,1436.2522817305255,-1451492.561003053
2021,none (occurrence),2019-2024,3.1985195241868496,-0.3552922179203506,1436.2522817305255,-1451492.561003053
2022,none (occurrence),2019-2024,3.0043642027303576,-0.3552922179203506,1436.2522817305255,-1451492.561003053
2023,none (occurrence),2019-2024,2.099624445429072,-0.3552922179203506,1436.2522817305255,-1451492.561003053
2024,none (occurrence),2019-2024,0.484300252282992,-0.3552922179203506,1436.2522817305255,-1451492.561003053
2019,none (model-wise),2019-2024,0.5618903371505439,-0.3370445295229274,1362.6103288587965,-1377194.516664963
2020,none (model-wise),2019-2024,1.8493644527625293,-0.3370445295229274,1362.6103288587965,-1377194.516664963
2021,none (model-wise),2019-2024,2.4627495093736798,-0.3370445295229274,1362.6103288587965,-1377194.516664963
2022,none (model-wise),2019-2024,2.4020455074496567,-0.3370445295229274,1362.6103288587965,-1377194.516664963
2023,none (model-wise),2019-2024,1.667252445826307,-0.3370445295229274,1362.6103288587965,-1377194.516664963
2024,none (model-wise),2019-2024,0.25837032520212233,-0.3370445295229274,1362.6103288587965,-1377194.516664963
2019,other (occurrence),2019-2024,3.3626416340703145,0.12258178212613302,-496.19202726646324,502127.46972315764
2020,other (occurrence),2019-2024,2.278432375052944,0.12258178212613302,-496.19202726646324,502127.46972315764
2021,other (occurrence),2019-2024,1.4393866803729907,0.12258178212613302,-496.19202726646324,502127.46972315764
2022,other (occurrence),2019-2024,0.845504549855832,0.12258178212613302,-496.19202726646324,502127.46972315764
2023,other (occurrence),2019-2024,0.4967859835596755,0.12258178212613302,-496.19202726646324,502127.46972315764
2024,other (occurrence),2019-2024,0.39323098154272884,0.12258178212613302,-496.19202726646324,502127.46972315764
2019,other (model-wise),2019-2024,2.347604625392705,-0.13100057341227966,529.1350538631393,-534315.6977095992
2020,other (model-wise),2019-2024,2.3713424762245268,-0.13100057341227966,529.1350538631393,-534315.6977095992
2021,other (model-wise),2019-2024,2.133079180493951,-0.13100057341227966,529.1350538631393,-534315.6977095992
2022,other (model-wise),2019-2024,1.6328147377353162,-0.13100057341227966,529.1350538631393,-534315.6977095992
2023,other (model-wise),2019-2024,0.870549148065038,-0.13100057341227966,529.1350538631393,-534315.6977095992
2024,other (model-wise),2019-2024,-0.1537175881676376,-0.13100057341227966,529.1350538631393,-534315.6977095992
