year,category,period,predicted,slope,intercept
2019,none (occurrence),2019-2024,1.1757198691871622,-0.19334769083512804,391.5447076653107
2020,none (occurrence),2019-2024,0.9823721783520227,-0.19334769083512804,391.5447076653107
2021,none (occurrence),2019-2024,0.7890244875169401,-0.19334769083512804,391.5447076653107
2022,none (occurrence),2019-2024,0.5956767966818006,-0.19334769083512804,391.5447076653107
2023,none (occurrence),2019-2024,0.40232910584666115,-0.19334769083512804,391.5447076653107
2024,none (occurrence),2019-2024,0.20898141501152168,-0.19334769083512804,391.5447076653107
2019,none (model-wise),2019-2024,0.40266106442577154,-0.02626050420168065,53.422619047619
2020,none (model-wise),2019-2024,0.3764005602240914,-0.02626050420168065,53.422619047619
2021,none (model-wise),2019-2024,0.3501400560224113,-0.02626050420168065,53.422619047619
2022,none (model-wise),2019-2024,0.32387955182073114,-0.02626050420168065,53.422619047619
2023,none (model-wise),2019-2024,0.297619047619051,-0.02626050420168065,53.422619047619
2024,none (model-wise),2019-2024,0.27135854341737087,-0.02626050420168065,53.422619047619
2019,other (occurrence),2019-2024,0.3908431044109477,-0.06700167504187604,135.66722501395867
2020,other (occurrence),2019-2024,0.3238414293690539,-0.06700167504187604,135.66722501395867
2021,other (occurrence),2019-2024,0.25683975432718853,-0.06700167504187604,135.66722501395867
2022,other (occurrence),2019-2024,0.18983807928532315,-0.06700167504187604,135.66722501395867
2023,other (occurrence),2019-2024,0.12283640424342934,-0.06700167504187604,135.66722501395867
2024,other (occurrence),2019-2024,0.05583472920156396,-0.06700167504187604,135.66722501395867
2019,other (model-wise),2019-2024,0.4464285714285836,-0.06827731092436976,138.29831932773112
2020,other (model-wise),2019-2024,0.378151260504211,-0.06827731092436976,138.29831932773112
2021,other (model-wise),2019-2024,0.3098739495798384,-0.06827731092436976,138.29831932773112
2022,other (model-wise),2019-2024,0.24159663865546577,-0.06827731092436976,138.29831932773112
2023,other (model-wise),2019-2024,0.17331932773109315,-0.06827731092436976,138.29831932773112
2024,other (model-wise),2019-2024,0.10504201680674896,-0.06827731092436976,138.29831932773112
