year,category,period,predicted,slope,intercept
2019,none (occurrence),2019-2024,1.13064555719194,-0.1859351988217968,376.5338119783997
2020,none (occurrence),2019-2024,0.9447103583701733,-0.1859351988217968,376.5338119783997
2021,none (occurrence),2019-2024,0.7587751595483496,-0.1859351988217968,376.5338119783997
2022,none (occurrence),2019-2024,0.5728399607265828,-0.1859351988217968,376.5338119783997
2023,none (occurrence),2019-2024,0.3869047619047592,-0.1859351988217968,376.5338119783997
2024,none (occurrence),2019-2024,0.2009695630829924,-0.1859351988217968,376.5338119783997
2019,none (model-wise),2019-2024,0.39682539682539186,-0.025879917184265005,52.64837819185644
2020,none (model-wise),2019-2024,0.37094547964112934,-0.025879917184265005,52.64837819185644
2021,none (model-wise),2019-2024,0.3450655624568597,-0.025879917184265005,52.64837819185644
2022,none (model-wise),2019-2024,0.3191856452725972,-0.025879917184265005,52.64837819185644
2023,none (model-wise),2019-2024,0.29330572808833466,-0.025879917184265005,52.64837819185644
2024,none (model-wise),2019-2024,0.26742581090406503,-0.025879917184265005,52.64837819185644
2019,other (occurrence),2019-2024,0.3758591065292194,-0.06443298969072167,130.46606529209626
2020,other (occurrence),2019-2024,0.31142611683847576,-0.06443298969072167,130.46606529209626
2021,other (occurrence),2019-2024,0.24699312714776056,-0.06443298969072167,130.46606529209626
2022,other (occurrence),2019-2024,0.18256013745704536,-0.06443298969072167,130.46606529209626
2023,other (occurrence),2019-2024,0.11812714776633015,-0.06443298969072167,130.46606529209626
2024,other (occurrence),2019-2024,0.05369415807558653,-0.06443298969072167,130.46606529209626
2019,other (model-wise),2019-2024,0.43995859213251265,-0.06728778467908902,136.29399585921325
2020,other (model-wise),2019-2024,0.3726708074534315,-0.06728778467908902,136.29399585921325
2021,other (model-wise),2019-2024,0.30538302277432194,-0.06728778467908902,136.29399585921325
2022,other (model-wise),2019-2024,0.2380952380952408,-0.06728778467908902,136.29399585921325
2023,other (model-wise),2019-2024,0.17080745341615966,-0.06728778467908902,136.29399585921325
2024,other (model-wise),2019-2024,0.10351966873707852,-0.06728778467908902,136.29399585921325
