year,category,period,predicted,slope,intercept
2015,none (occurrence),2015-2018,0.3407155025552129,1.9165247018739349,-3861.4565587734237
2016,none (occurrence),2015-2018,2.2572402044288538,1.9165247018739349,-3861.4565587734237
2017,none (occurrence),2015-2018,4.173764906302949,1.9165247018739349,-3861.4565587734237
2018,none (occurrence),2015-2018,6.090289608177045,1.9165247018739349,-3861.4565587734237
2015,none (model-wise),2015-2018,0.36885245901635244,0.471311475409836,-949.3237704918031
2016,none (model-wise),2015-2018,0.8401639344263003,0.471311475409836,-949.3237704918031
2017,none (model-wise),2015-2018,1.3114754098361345,0.471311475409836,-949.3237704918031
2018,none (model-wise),2015-2018,1.7827868852459687,0.471311475409836,-949.3237704918031
2019,none (occurrence),2019-2024,6.3992320380737056,-0.5646142613774642,1146.3554257591738
2020,none (occurrence),2019-2024,5.834617776696177,-0.5646142613774642,1146.3554257591738
2021,none (occurrence),2019-2024,5.270003515318649,-0.5646142613774642,1146.3554257591738
2022,none (occurrence),2019-2024,4.705389253941348,-0.5646142613774642,1146.3554257591738
2023,none (occurrence),2019-2024,4.14077499256382,-0.5646142613774642,1146.3554257591738
2024,none (occurrence),2019-2024,3.5761607311862917,-0.5646142613774642,1146.3554257591738
2019,none (model-wise),2019-2024,2.6151444184230854,-0.1990632318501171,404.5238095238095
2020,none (model-wise),2019-2024,2.416081186572967,-0.1990632318501171,404.5238095238095
2021,none (model-wise),2019-2024,2.2170179547228486,-0.1990632318501171,404.5238095238095
2022,none (model-wise),2019-2024,2.01795472287273,-0.1990632318501171,404.5238095238095
2023,none (model-wise),2019-2024,1.8188914910226117,-0.1990632318501171,404.5238095238095
2024,none (model-wise),2019-2024,1.6198282591724933,-0.1990632318501171,404.5238095238095
2015,other (occurrence),2015-2018,0.6104486087450312,-0.09937535491198184,200.85178875638843
2016,other (occurrence),2015-2018,0.5110732538330467,-0.09937535491198184,200.85178875638843
2017,other (occurrence),2015-2018,0.41169789892106223,-0.09937535491198184,200.85178875638843
2018,other (occurrence),2015-2018,0.3123225440090778,-0.09937535491198184,200.85178875638843
2015,other (model-wise),2015-2018,0.26639344262294173,0.061475409836065566,-123.60655737704917
2016,other (model-wise),2015-2018,0.3278688524590052,0.061475409836065566,-123.60655737704917
2017,other (model-wise),2015-2018,0.3893442622950687,0.061475409836065566,-123.60655737704917
2018,other (model-wise),2015-2018,0.4508196721311464,0.061475409836065566,-123.60655737704917
2019,other (occurrence),2019-2024,1.285795408452941,-0.2814959033016955,569.6260241745762
2020,other (occurrence),2019-2024,1.0042995051512662,-0.2814959033016955,569.6260241745762
2021,other (occurrence),2019-2024,0.7228036018495914,-0.2814959033016955,569.6260241745762
2022,other (occurrence),2019-2024,0.4413076985479165,-0.2814959033016955,569.6260241745762
2023,other (occurrence),2019-2024,0.15981179524624167,-0.2814959033016955,569.6260241745762
2024,other (occurrence),2019-2024,-0.12168410805554686,-0.2814959033016955,569.6260241745762
2019,other (model-wise),2019-2024,1.063622170179599,-0.19320843091334894,391.1514441842311
2020,other (model-wise),2019-2024,0.8704137392662119,-0.19320843091334894,391.1514441842311
2021,other (model-wise),2019-2024,0.6772053083528817,-0.19320843091334894,391.1514441842311
2022,other (model-wise),2019-2024,0.48399687743955155,-0.19320843091334894,391.1514441842311
2023,other (model-wise),2019-2024,0.29078844652616453,-0.19320843091334894,391.1514441842311
2024,other (model-wise),2019-2024,0.09758001561283436,-0.19320843091334894,391.1514441842311
