year,category,period,predicted,slope,intercept
2015,none (occurrence),2015-2018,27.085598459510948,15.5289449680754,-31263.73851221242
2016,none (occurrence),2015-2018,42.614543427585886,15.5289449680754,-31263.73851221242
2017,none (occurrence),2015-2018,58.143488395660825,15.5289449680754,-31263.73851221242
2018,none (occurrence),2015-2018,73.67243336373576,15.5289449680754,-31263.73851221242
2015,none (model-wise),2015-2018,29.63008463008464,-0.6319956319956299,1303.101283101279
2016,none (model-wise),2015-2018,28.998088998089088,-0.6319956319956299,1303.101283101279
2017,none (model-wise),2015-2018,28.366093366093537,-0.6319956319956299,1303.101283101279
2018,none (model-wise),2015-2018,27.73409773409776,-0.6319956319956299,1303.101283101279
2019,none (occurrence),2019-2024,48.27728961184039,-4.033097027934641,8191.1001890118805
2020,none (occurrence),2019-2024,44.244192583905715,-4.033097027934641,8191.1001890118805
2021,none (occurrence),2019-2024,40.21109555597104,-4.033097027934641,8191.1001890118805
2022,none (occurrence),2019-2024,36.17799852803637,-4.033097027934641,8191.1001890118805
2023,none (occurrence),2019-2024,32.144901500101696,-4.033097027934641,8191.1001890118805
2024,none (occurrence),2019-2024,28.111804472167023,-4.033097027934641,8191.1001890118805
2019,none (model-wise),2019-2024,22.146876534394323,-2.3482437155833713,4763.250938297221
2020,none (model-wise),2019-2024,19.798632818810802,-2.3482437155833713,4763.250938297221
2021,none (model-wise),2019-2024,17.45038910322819,-2.3482437155833713,4763.250938297221
2022,none (model-wise),2019-2024,15.102145387644669,-2.3482437155833713,4763.250938297221
2023,none (model-wise),2019-2024,12.753901672061147,-2.3482437155833713,4763.250938297221
2024,none (model-wise),2019-2024,10.405657956477626,-2.3482437155833713,4763.250938297221
2015,other (occurrence),2015-2018,23.699827708524026,-6.574217087260563,13270.747258538559
2016,other (occurrence),2015-2018,17.12561062126224,-6.574217087260563,13270.747258538559
2017,other (occurrence),2015-2018,10.551393534002273,-6.574217087260563,13270.747258538559
2018,other (occurrence),2015-2018,3.9771764467423054,-6.574217087260563,13270.747258538559
2015,other (model-wise),2015-2018,15.0805350805349,-2.4187824187824187,4888.927108927109
2016,other (model-wise),2015-2018,12.661752661752871,-2.4187824187824187,4888.927108927109
2017,other (model-wise),2015-2018,10.242970242969932,-2.4187824187824187,4888.927108927109
2018,other (model-wise),2015-2018,7.824187824187902,-2.4187824187824187,4888.927108927109
2019,other (occurrence),2019-2024,14.432740064205063,-3.2773110199261986,6631.3236892952
2020,other (occurrence),2019-2024,11.155429044279117,-3.2773110199261986,6631.3236892952
2021,other (occurrence),2019-2024,7.878118024352261,-3.2773110199261986,6631.3236892952
2022,other (occurrence),2019-2024,4.600807004426315,-3.2773110199261986,6631.3236892952
2023,other (occurrence),2019-2024,1.3234959845003686,-3.2773110199261986,6631.3236892952
2024,other (occurrence),2019-2024,-1.9538150354255777,-3.2773110199261986,6631.3236892952
2019,other (model-wise),2019-2024,10.800977336772121,-2.1724347573666076,4396.946752459953
2020,other (model-wise),2019-2024,8.628542579405803,-2.1724347573666076,4396.946752459953
2021,other (model-wise),2019-2024,6.456107822039485,-2.1724347573666076,4396.946752459953
2022,other (model-wise),2019-2024,4.283673064672257,-2.1724347573666076,4396.946752459953
2023,other (model-wise),2019-2024,2.111238307305939,-2.1724347573666076,4396.946752459953
2024,other (model-wise),2019-2024,-0.06119645006037899,-2.1724347573666076,4396.946752459953
