year,category,period,predicted,slope,intercept
2015,none (occurrence),2015-2018,0.346320346320681,1.948051948051948,-3924.9783549783547
2016,none (occurrence),2015-2018,2.2943722943723515,1.948051948051948,-3924.9783549783547
2017,none (occurrence),2015-2018,4.242424242424477,1.948051948051948,-3924.9783549783547
2018,none (occurrence),2015-2018,6.190476190476602,1.948051948051948,-3924.9783549783547
2015,none (model-wise),2015-2018,0.3711340206185696,0.47422680412371127,-955.1958762886596
2016,none (model-wise),2015-2018,0.845360824742329,0.47422680412371127,-955.1958762886596
2017,none (model-wise),2015-2018,1.3195876288659747,0.47422680412371127,-955.1958762886596
2018,none (model-wise),2015-2018,1.793814432989734,0.47422680412371127,-955.1958762886596
2019,none (occurrence),2019-2024,6.064728921871847,-0.47495361781076056,964.9960832817974
2020,none (occurrence),2019-2024,5.58977530406105,-0.47495361781076056,964.9960832817974
2021,none (occurrence),2019-2024,5.114821686250252,-0.47495361781076056,964.9960832817974
2022,none (occurrence),2019-2024,4.639868068439569,-0.47495361781076056,964.9960832817974
2023,none (occurrence),2019-2024,4.164914450628771,-0.47495361781076056,964.9960832817974
2024,none (occurrence),2019-2024,3.689960832817974,-0.47495361781076056,964.9960832817974
2019,none (model-wise),2019-2024,2.5527736867942963,-0.18262150220913106,371.2655866470299
2020,none (model-wise),2019-2024,2.3701521845851516,-0.18262150220913106,371.2655866470299
2021,none (model-wise),2019-2024,2.187530682376064,-0.18262150220913106,371.2655866470299
2022,none (model-wise),2019-2024,2.004909180166919,-0.18262150220913106,371.2655866470299
2023,none (model-wise),2019-2024,1.8222876779577746,-0.18262150220913106,371.2655866470299
2024,none (model-wise),2019-2024,1.63966617574863,-0.18262150220913106,371.2655866470299
2015,other (occurrence),2015-2018,0.6204906204906138,-0.101010101010101,204.1558441558441
2016,other (occurrence),2015-2018,0.5194805194805099,-0.101010101010101,204.1558441558441
2017,other (occurrence),2015-2018,0.418470418470406,-0.101010101010101,204.1558441558441
2018,other (occurrence),2015-2018,0.3174603174603021,-0.101010101010101,204.1558441558441
2015,other (model-wise),2015-2018,0.268041237113394,0.06185567010309278,-124.37113402061856
2016,other (model-wise),2015-2018,0.3298969072164937,0.06185567010309278,-124.37113402061856
2017,other (model-wise),2015-2018,0.39175257731957913,0.06185567010309278,-124.37113402061856
2018,other (model-wise),2015-2018,0.4536082474226788,0.06185567010309278,-124.37113402061856
2019,other (occurrence),2019-2024,1.3069470212327587,-0.2861265718408575,578.9964955679241
2020,other (occurrence),2019-2024,1.0208204493919766,-0.2861265718408575,578.9964955679241
2021,other (occurrence),2019-2024,0.7346938775510807,-0.2861265718408575,578.9964955679241
2022,other (occurrence),2019-2024,0.4485673057101849,-0.2861265718408575,578.9964955679241
2023,other (occurrence),2019-2024,0.16244073386940272,-0.2861265718408575,578.9964955679241
2024,other (occurrence),2019-2024,-0.12368583797149313,-0.2861265718408575,578.9964955679241
2019,other (model-wise),2019-2024,1.0702012763868538,-0.19440353460972015,393.5709376534118
2020,other (model-wise),2019-2024,0.8757977417770917,-0.19440353460972015,393.5709376534118
2021,other (model-wise),2019-2024,0.6813942071673864,-0.19440353460972015,393.5709376534118
2022,other (model-wise),2019-2024,0.48699067255768114,-0.19440353460972015,393.5709376534118
2023,other (model-wise),2019-2024,0.29258713794797586,-0.19440353460972015,393.5709376534118
2024,other (model-wise),2019-2024,0.09818360333821374,-0.19440353460972015,393.5709376534118
