year,category,period,predicted,slope,intercept
2015,none (occurrence),2015-2018,3.067074867798965,1.0631784024492066,-2139.2374060673524
2016,none (occurrence),2015-2018,4.130253270247977,1.0631784024492066,-2139.2374060673524
2017,none (occurrence),2015-2018,5.193431672697443,1.0631784024492066,-2139.2374060673524
2018,none (occurrence),2015-2018,6.256610075146455,1.0631784024492066,-2139.2374060673524
2015,none (model-wise),2015-2018,3.207547169811278,0.6918238993710694,-1390.8176100628934
2016,none (model-wise),2015-2018,3.899371069182507,0.6918238993710694,-1390.8176100628934
2017,none (model-wise),2015-2018,4.591194968553509,0.6918238993710694,-1390.8176100628934
2018,none (model-wise),2015-2018,5.283018867924511,0.6918238993710694,-1390.8176100628934
2015,other (occurrence),2015-2018,6.189813526300895,-2.4937378235457834,5031.071527971055
2016,other (occurrence),2015-2018,3.696075702755479,-2.4937378235457834,5031.071527971055
2017,other (occurrence),2015-2018,1.202337879210063,-2.4937378235457834,5031.071527971055
2018,other (occurrence),2015-2018,-1.2913999443362627,-2.4937378235457834,5031.071527971055
2015,other (model-wise),2015-2018,3.018867924528422,-0.7547169811320754,1523.7735849056603
2016,other (model-wise),2015-2018,2.2641509433963165,-0.7547169811320754,1523.7735849056603
2017,other (model-wise),2015-2018,1.509433962264211,-0.7547169811320754,1523.7735849056603
2018,other (model-wise),2015-2018,0.7547169811321055,-0.7547169811320754,1523.7735849056603
