year,category,period,predicted,a (quad),b (linear),intercept
2015,none (occurrence),2015-2018,2.900083494489081,-0.16699137329874247,674.5393869163266,-681171.415901017
2016,none (occurrence),2015-2018,4.297244643676095,-0.16699137329874247,674.5393869163266,-681171.415901017
2017,none (occurrence),2015-2018,5.360423046047799,-0.16699137329874247,674.5393869163266,-681171.415901017
2018,none (occurrence),2015-2018,6.089618702069856,-0.16699137329874247,674.5393869163266,-681171.415901017
2015,none (model-wise),2015-2018,3.9937106943689287,0.7861635223562189,-3169.9056617649217,3195363.114608233
2016,none (model-wise),2015-2018,3.1132075479254127,0.7861635223562189,-3169.9056617649217,3195363.114608233
2017,none (model-wise),2015-2018,3.805031444877386,0.7861635223562189,-3169.9056617649217,3195363.114608233
2018,none (model-wise),2015-2018,6.069182388018817,0.7861635223562189,-3169.9056617649217,3195363.114608233
2015,other (occurrence),2015-2018,7.887559140101075,1.69774561770555,-6849.501814027358,6908524.842175749
2016,other (occurrence),2015-2018,1.9983300846070051,1.69774561770555,-6849.501814027358,6908524.842175749
2017,other (occurrence),2015-2018,-0.49540773686021566,1.69774561770555,-6849.501814027358,6908524.842175749
2018,other (occurrence),2015-2018,0.40634567849338055,1.69774561770555,-6849.501814027358,6908524.842175749
2015,other (model-wise),2015-2018,3.6477987417019904,0.6289308180689659,-2537.232706252776,2558926.920104019
2016,other (model-wise),2015-2018,1.6352201253175735,0.6289308180689659,-2537.232706252776,2558926.920104019
2017,other (model-wise),2015-2018,0.8805031450465322,0.6289308180689659,-2537.232706252776,2558926.920104019
2018,other (model-wise),2015-2018,1.3836477999575436,0.6289308180689659,-2537.232706252776,2558926.920104019
