Construct,Total Frequency,Group Frequency,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,151,30,0.0001880431926496282,0.24793388429752067
abstractNature,0,0,0.0,0.0
aggregationKind,19346,120,0.024091944403971572,0.9917355371900827
AggregationKind,0,0,0.0,0.0
attribute,1762,43,0.002194252353964536,0.35537190082644626
begin,0,0,0.0,0.0
bringsAbout,30,12,3.7359574698601634e-05,0.09917355371900827
cardinality,16983,120,0.021149255236878384,0.9917355371900827
Cardinality,16983,120,0.021149255236878384,0.9917355371900827
cardinalityValue,16983,120,0.021149255236878384,0.9917355371900827
categorizer,3,2,3.7359574698601633e-06,0.01652892561983471
category,588,86,0.000732247664092592,0.7107438016528925
characterization,561,68,0.0006986240468638505,0.5619834710743802
Class,12181,121,0.015169232646788882,1.0
Classifier,0,0,0.0,0.0
ClassStereotype,0,0,0.0,0.0
ClassView,7715,100,0.00960763729332372,0.8264462809917356
collective,503,44,0.0006263955357798873,0.36363636363636365
collectiveNature,0,0,0.0,0.0
comparative,37,6,4.6076808794942014e-05,0.049586776859504134
componentOf,573,45,0.0007135678767432912,0.371900826446281
composite,947,72,0.0011793172413191914,0.5950413223140496
ConnectorView,0,0,0.0,0.0
containsModelElement,30777,121,0.03832718768329541,1.0
containsView,39250,120,0.048878776897337134,0.9917355371900827
creation,61,18,7.596446855382331e-05,0.1487603305785124
datatype,88,26,0.00010958808578256479,0.21487603305785125
DecoratableElement,0,0,0.0,0.0
derivation,228,39,0.0002839327677093724,0.32231404958677684
description,1953,21,0.0024321083128789663,0.17355371900826447
diagram,1242,120,0.0015466863925221075,0.9917355371900827
Diagram,1242,120,0.0015466863925221075,0.9917355371900827
DiagramElement,0,0,0.0,0.0
ElementView,0,0,0.0,0.0
end,0,0,0.0,0.0
enumeration,65,8,8.094574518030354e-05,0.06611570247933884
event,951,54,0.0011842985179456717,0.4462809917355372
eventNature,0,0,0.0,0.0
externalDependence,77,22,9.588957505974418e-05,0.18181818181818182
extrinsicModeNature,0,0,0.0,0.0
functionalComplexNature,0,0,0.0,0.0
general,8582,117,0.010687329002113307,0.9669421487603306
generalization,1476,72,0.0018380910751712002,0.5950413223140496
Generalization,8582,117,0.010687329002113307,0.9669421487603306
GeneralizationSet,557,72,0.0006936427702373703,0.5950413223140496
GeneralizationSetView,0,0,0.0,0.0
GeneralizationView,4505,96,0.005610162800573345,0.7933884297520661
height,8288,100,0.01032120517006701,0.8264462809917356
historicalDependence,44,16,5.4794042891282395e-05,0.1322314049586777
historicalRole,23,4,2.864234060226125e-05,0.03305785123966942
historicalRoleMixin,9,3,1.120787240958049e-05,0.024793388429752067
instantiation,69,17,8.592702180678375e-05,0.14049586776859505
intrinsicModeNature,0,0,0.0,0.0
isAbstract,12181,121,0.015169232646788882,1.0
isComplete,557,72,0.0006936427702373703,0.5950413223140496
isDerived,40319,121,0.05021002307576397,1.0
isDisjoint,557,72,0.0006936427702373703,0.5950413223140496
isExtensional,12181,121,0.015169232646788882,1.0
isOrdered,19346,120,0.024091944403971572,0.9917355371900827
isPowertype,12181,121,0.015169232646788882,1.0
isReadOnly,19346,120,0.024091944403971572,0.9917355371900827
isViewOf,12237,100,0.015238970519559605,0.8264462809917356
kind,1598,101,0.0019900200122788467,0.8347107438016529
literal,215,8,0.00026774361867331167,0.06611570247933884
Literal,215,8,0.00026774361867331167,0.06611570247933884
lowerBound,12934,112,0.016106957971723783,0.9256198347107438
manifestation,34,12,4.2340851325081846e-05,0.09917355371900827
material,636,54,0.0007920229836103546,0.4462809917355372
mediation,2021,77,0.0025167900155291297,0.6363636363636364
memberOf,203,31,0.00025279978879387104,0.256198347107438
mixin,84,22,0.00010460680915608456,0.18181818181818182
mode,545,58,0.0006786989403579296,0.4793388429752066
model.1,121,121,0.0001506836179510266,1.0
ModelElement,0,0,0.0,0.0
name,23937,121,0.02980920465201424,1.0
NodeView,0,0,0.0,0.0
none,18050,120,0.02247801077699198,0.9917355371900827
Note,0,0,0.0,0.0
NoteView,0,0,0.0,0.0
OntologicalNature,0,0,0.0,0.0
OntoumlElement,0,0,0.0,0.0
order,12181,121,0.015169232646788882,1.0
owner,0,0,0.0,0.0
Package,786,121,0.0009788208571033627,1.0
PackageView,17,4,2.1170425662540923e-05,0.03305785123966942
participation,229,31,0.00028517808686599245,0.256198347107438
