model_id,count
abel2015petroleum-system,21
abrahao2018agriculture-operations,53
aguiar2018rdbs-o,31
aguiar2019ooco,31
aires2022valuenetworks-geo,53
albuquerque2011ontobio,43
alkhalaf2024,126
alpinebits2022,37
amaral2019rot,45
amaral2020game-theory,20
amaral2020rome,58
amaral2022ethical-requirements,17
andersson2018value-ascription,17
andrade2023integracao,28
aristotle-ontology2019,147
barcelos2013normative-acts,18
barcelos2015transport-networks,348
barcelos2024resiliont,80
barros2020programming,0
bernasconi2021ontovcm,67
bernasconi2023fair-principles,29
brazilian-governmental-organizational-structures,7
buchtela2020connection,13
buridan-ontology2021,53
carolla2014campus-management,23
castro2012cloudvulnerability,27
cgts2021sebim,11
cmpo2017,66
core-o2023,47
dcat-mlt-ufo2023,31
demori2023miscon,27
derave2019dpo,299
dpo2017,51
duarte2020jogabilidade,21
elghosh2020cargos,15
elghosh2024eucaim,30
elikan2018brand-identity,31
eu-rent-refactored2022,50
falduci2022non-consensual-pornography,38
fernandez-cejas2022curie-o,21
ferreira2015ontoemergeplan,121
fischer2018ontorea,23
fonseca2022incorporating,21
formula-one2023,13
fraller2019abc,46
franco2018rpg,24
fumagalli2022criminal-investigation,9
gailly2016value,15
garcia2022human-genome-events,8
gomes2022digital-technology,18
goncalves2011ecg,165
grueau2013towards,3
guarino2016value,37
guarino2018rea,12
guizzardi2005ontological,25
guizzardi2020decision-making,61
guizzardi2022ufo,40
haridy2021egyptian-e-government,16
heirbrant2023boekbazaar,59
jacobs2022sdpontology,22
junior2018o4c,5
khantong2020ontology,22
kostov2017towards,35
kritz2020ontobg,70
laurier2018rea,18
lindeberg2022full-ontorights,115
lindeberg2022simple-ontorights,67
machacova2023gym,21
maddalena2021ontocovid,72
martinez2013human-genome,15
mgic-antt2011,3054
moreira2018saref4health,10
nardi2015ufo-s,48
nascimento2023spacecon,15
neves2020nwpontology,22
neves2021grain-production,16
niederkofler2019dssapple,43
o3ontology2015,220
oliveira2007collaboration,20
oliveira2022rose,86
pereira2015doacao-orgaos,9
pereira2020ontotrans,67
piest2024dsr-kb,66
pinheiro2024api,34
plato-ontology2019,70
porello2020coex,37
ppo-o2021,42
public-expense-ontology2020,26
quality-assurance-process-ontology2017,28
ramirez2015userfeedback,36
ramos2021bias,30
repa2021public-administration,9
rocha2023ciencia-aberta,22
rodrigues2017urinary-profiles,62
rodrigues2019ontocrime,57
rodrigues2019turbidite,99
romanenko2023what,31
sales2018competition,31
sales2018cover,58
santos2020valuenetworks,6
sariev2024maritime,62
schoonderbeek2024eamon,128
services2015,91
sikora2021online-education,58
silva2012itarchitecture,33
silva2021sebim,22
silva2023onto4caal,86
silva2023onto4elev,77
silveira2021oap,25
spmo2017,27
spo2017,89
tesolin2023hint,53
valaski2020medical-appointment,7
van-ee2021modular,66
van-wingerde2020smart-contracts,42
vieira2020weathering,60
weigand2021artifact,46
xhani2023xmlpo,92
zanetti2019orm-o,22
zhou2017hazard-ontology-robotic-strolling,14
zhou2017hazard-ontology-train-control,30
