Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
abstract,0.05422661272163697,0.05422661272163686,0.0030330997741572566,0.002180534150013208,0.00047611028309477166,0.03586562709774863,0.0003789835342832143,0.040896859249331195,0.016556911163642808,0.0017252776721451701,0.02113015313823364,0.003968681325140937,0.054226612721637,0.02524429262498843,0.0008747360998011197,0.013855423362460845,0.011438674735562628,0.054226612721636376,0.03259833792860587,0.012744584810205857,0.04089685924933109,0.03586562709774815,0.0015054854901156156
category,0.05422661272163686,2.2004434014359493,0.3239806138521416,0.38568950491796145,0.08348255087067197,0.7311597229255794,0.07990853042307752,0.07642040537936752,1.0037701272409896,0.16229710711948123,0.6848487103741383,0.496788980543842,0.16121917319843657,0.6254672156946811,0.1255585283520221,0.6657803345314344,0.7356131995956621,0.5419205699340266,0.34914241338980945,1.090613734101442,0.5062139026895423,0.37292542201302115,0.23681760232286567
collective,0.0030330997741572566,0.3239806138521416,0.989430041291728,0.17772311674861066,0.03834875443090601,0.2686699964492304,0.050799973922882526,0.029952648870151248,0.4619528597116467,0.07637405757409413,0.30456972142295546,0.3240009653682327,0.046015498733314904,0.16776176443897653,0.1085785236438901,0.3788678568238822,0.3599053984322301,0.17504057394354974,0.0645142799407119,0.5370618745940088,0.2101463189130356,0.10050057277221297,0.08380555336550169
datatype,0.002180534150013208,0.38568950491796145,0.17772311674861066,0.8577556921958545,0.14022146322625484,0.2523089925870047,0.03456373062969785,0.0234659370335613,0.41905018529352855,0.0686440180977024,0.25364620508828767,0.2367697396636783,0.10545455152751454,0.19214665732758743,0.08722764508036995,0.2693017897434688,0.3135481708750273,0.19411909955672982,0.12059918846827195,0.4294672994002301,0.16371911776444756,0.1070062325223171,0.07064315115299788
enumeration,0.00047611028309477166,0.08348255087067197,0.03834875443090601,0.14022146322625484,0.25686051909863905,0.06559744550993954,0.001933408179044492,0.0014427166088787427,0.14093233894438625,0.008815002885560218,0.039580797571133065,0.09149451885973606,0.05698952937478584,0.07332462167309683,0.022442921141972876,0.1009842973727626,0.1086644415057065,0.07193505303586072,0.03771923996613593,0.14201119714100519,0.0701015776305261,0.01055343835994859,0.007690024462078539
event,0.03586562709774863,0.7311597229255794,0.2686699964492304,0.2523089925870047,0.06559744550993954,1.9936135283353018,0.1496938760220594,0.09901738055506595,0.9310755440016306,0.11265979981642237,0.6325858843770579,0.5383112773943387,0.09499004818125065,0.5044423381792278,0.1786498397576967,0.6265404333707105,0.6837274241840007,0.7147127750402587,0.5211868937240207,0.9087288623701112,0.4908472354600805,0.4204234128438684,0.29353325470853686
historicalRole,0.0003789835342832143,0.07990853042307752,0.050799973922882526,0.03456373062969785,0.001933408179044492,0.1496938760220594,0.21634264338359194,0.05480072712156255,0.14139535470133463,0.00701345226983114,0.0266669048178066,0.03839120038853768,0.0031419001874328917,0.048006569524410715,0.10967175287252952,0.10687434654053715,0.10529659660166638,0.10143812243416067,0.11190431305129148,0.08899361361117661,0.06127444101167521,0.03857754576007287,0.05850832195706502
historicalRoleMixin,0.040896859249331195,0.07642040537936752,0.029952648870151248,0.0234659370335613,0.0014427166088787427,0.09901738055506595,0.05480072712156255,0.1490691052751502,0.06596564400051538,0.005231597015626296,0.020757605794421874,0.01205139871412169,0.07398773741614978,0.022119510907976987,0.034169123965978286,0.06872748358924113,0.04952922732682786,0.08213338556354084,0.02300250014981923,0.0664612562718121,0.10974543590671065,0.026500111697707322,0.0045645373209306506
kind,0.016556911163642808,1.0037701272409896,0.4619528597116467,0.41905018529352855,0.14093233894438625,0.9310755440016306,0.14139535470133463,0.06596564400051538,2.9079044750098664,0.19706268569826174,0.8656353953038876,0.7813990932909115,0.1414081970951515,0.7789400312974526,0.2174455681597651,1.135628658755868,1.285007283768456,0.6650366288252756,0.34596183745108566,1.5593707658986886,0.4330015594939774,0.49193211855511354,0.3616322587998061
mixin,0.0017252776721451701,0.16229710711948123,0.07637405757409413,0.0686440180977024,0.008815002885560218,0.11265979981642237,0.00701345226983114,0.005231597015626296,0.19706268569826174,0.5561775834110543,0.15490134032395944,0.15249957653177199,0.018803801635464655,0.1813438991005519,0.053895909077545226,0.20915498082832693,0.23507260720295242,0.09534811986357586,0.028684281115894827,0.2669495316667138,0.10119827205302612,0.09339619612979001,0.028018950487976008
