Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('abstract', 'category')",0.015151515151515152,0.029850746268656716
"('abstract', 'collective')",0.0,0.0
"('abstract', 'datatype')",0.0,0.0
"('abstract', 'enumeration')",0.0,0.0
"('abstract', 'event')",0.024390243902439025,0.047619047619047616
"('abstract', 'historicalRole')",0.0,0.0
"('abstract', 'historicalRoleMixin')",0.3333333333333333,0.5
"('abstract', 'kind')",0.0,0.0
"('abstract', 'mixin')",0.0,0.0
"('abstract', 'mode')",0.021739130434782608,0.0425531914893617
"('abstract', 'phase')",0.0,0.0
"('abstract', 'phaseMixin')",0.125,0.2222222222222222
"('abstract', 'quality')",0.023809523809523808,0.046511627906976744
"('abstract', 'quantity')",0.0,0.0
"('abstract', 'relator')",0.0,0.0
"('abstract', 'role')",0.0,0.0
"('abstract', 'roleMixin')",0.025,0.04878048780487805
"('abstract', 'situation')",0.058823529411764705,0.1111111111111111
"('abstract', 'subkind')",0.0,0.0
"('abstract', 'type')",0.05,0.09523809523809523
"('abstract', 'none')",0.0625,0.11764705882352941
"('abstract', 'other')",0.0,0.0
"('category', 'collective')",0.2777777777777778,0.43478260869565216
"('category', 'datatype')",0.2463768115942029,0.3953488372093023
"('category', 'enumeration')",0.04411764705882353,0.08450704225352113
"('category', 'event')",0.40789473684210525,0.5794392523364486
"('category', 'historicalRole')",0.04477611940298507,0.08571428571428572
"('category', 'historicalRoleMixin')",0.045454545454545456,0.08695652173913043
"('category', 'kind')",0.6067415730337079,0.7552447552447552
"('category', 'mixin')",0.17647058823529413,0.3
"('category', 'mode')",0.5342465753424658,0.6964285714285714
"('category', 'phase')",0.32,0.48484848484848486
"('category', 'phaseMixin')",0.12121212121212122,0.21621621621621623
"('category', 'quality')",0.4794520547945205,0.6481481481481481
"('category', 'quantity')",0.08955223880597014,0.1643835616438356
"('category', 'relator')",0.5568181818181818,0.7153284671532847
"('category', 'role')",0.5238095238095238,0.6875
"('category', 'roleMixin')",0.43243243243243246,0.6037735849056604
"('category', 'situation')",0.23880597014925373,0.3855421686746988
"('category', 'subkind')",0.6463414634146342,0.7851851851851852
"('category', 'type')",0.2647058823529412,0.4186046511627907
"('category', 'none')",0.17142857142857143,0.2926829268292683
"('category', 'other')",0.14705882352941177,0.2564102564102564
"('collective', 'datatype')",0.1794871794871795,0.30434782608695654
"('collective', 'enumeration')",0.06896551724137931,0.12903225806451613
"('collective', 'event')",0.21818181818181817,0.3582089552238806
"('collective', 'historicalRole')",0.07142857142857142,0.13333333333333333
"('collective', 'historicalRoleMixin')",0.03571428571428571,0.06896551724137931
"('collective', 'kind')",0.3037974683544304,0.46601941747572817
"('collective', 'mixin')",0.14285714285714285,0.25
"('collective', 'mode')",0.2857142857142857,0.4444444444444444
"('collective', 'phase')",0.40476190476190477,0.576271186440678
"('collective', 'phaseMixin')",0.0967741935483871,0.17647058823529413
"('collective', 'quality')",0.21428571428571427,0.35294117647058826
"('collective', 'quantity')",0.17857142857142858,0.30303030303030304
"('collective', 'relator')",0.3287671232876712,0.4948453608247423
"('collective', 'role')",0.31343283582089554,0.4772727272727273
"('collective', 'roleMixin')",0.17857142857142858,0.30303030303030304
"('collective', 'situation')",0.0,0.0
"('collective', 'subkind')",0.3380281690140845,0.5052631578947369
"('collective', 'type')",0.1794871794871795,0.30434782608695654
"('collective', 'none')",0.07692307692307693,0.14285714285714285
"('collective', 'other')",0.08571428571428572,0.15789473684210525
"('datatype', 'enumeration')",0.13636363636363635,0.24
"('datatype', 'event')",0.22,0.36065573770491804
"('datatype', 'historicalRole')",0.043478260869565216,0.08333333333333333
"('datatype', 'historicalRoleMixin')",0.045454545454545456,0.08695652173913043
"('datatype', 'kind')",0.22784810126582278,0.3711340206185567
"('datatype', 'mixin')",0.0967741935483871,0.17647058823529413
"('datatype', 'mode')",0.17857142857142858,0.30303030303030304
"('datatype', 'phase')",0.17777777777777778,0.3018867924528302
"('datatype', 'phaseMixin')",0.12,0.21428571428571427
"('datatype', 'quality')",0.24,0.3870967741935484
"('datatype', 'quantity')",0.125,0.2222222222222222
"('datatype', 'relator')",0.18181818181818182,0.3076923076923077
"('datatype', 'role')",0.20588235294117646,0.34146341463414637
"('datatype', 'roleMixin')",0.15384615384615385,0.26666666666666666
"('datatype', 'situation')",0.1935483870967742,0.32432432432432434
"('datatype', 'subkind')",0.2191780821917808,0.3595505617977528
"('datatype', 'type')",0.14285714285714285,0.25
"('datatype', 'none')",0.16129032258064516,0.2777777777777778
"('datatype', 'other')",0.10344827586206896,0.1875
"('enumeration', 'event')",0.045454545454545456,0.08695652173913043
"('enumeration', 'historicalRole')",0.0,0.0
"('enumeration', 'historicalRoleMixin')",0.0,0.0
"('enumeration', 'kind')",0.06493506493506493,0.12195121951219512
"('enumeration', 'mixin')",0.0,0.0
"('enumeration', 'mode')",0.02,0.0392156862745098
"('enumeration', 'phase')",0.08571428571428572,0.15789473684210525
"('enumeration', 'phaseMixin')",0.08333333333333333,0.15384615384615385
"('enumeration', 'quality')",0.06818181818181818,0.1276595744680851
"('enumeration', 'quantity')",0.09090909090909091,0.16666666666666666
"('enumeration', 'relator')",0.07042253521126761,0.13157894736842105
"('enumeration', 'role')",0.046875,0.08955223880597014
"('enumeration', 'roleMixin')",0.046511627906976744,0.08888888888888889
"('enumeration', 'situation')",0.047619047619047616,0.09090909090909091
"('enumeration', 'subkind')",0.07246376811594203,0.13513513513513514
"('enumeration', 'type')",0.08695652173913043,0.16
"('enumeration', 'none')",0.0,0.0
"('enumeration', 'other')",0.0,0.0
"('event', 'historicalRole')",0.0975609756097561,0.17777777777777778
"('event', 'historicalRoleMixin')",0.07317073170731707,0.13636363636363635
"('event', 'kind')",0.3409090909090909,0.5084745762711864
"('event', 'mixin')",0.0784313725490196,0.14545454545454545
