Stereotype,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,25th Percentile (Q1),75th Percentile (Q3),Interquartile Range (IQR)
abstract,0.012195121951219513,0.0,0.0,0.11043152607484655,0.012195121951219513,9.055385138137416,82.00000000000001,0.0,0.0,0.0
category,3.292682926829268,1.0,0.0,4.238238059481877,17.962661848840707,1.703155505017889,2.3418575374845756,0.0,5.0,5.0
collective,0.7560975609756098,0.0,0.0,1.809173985243782,3.2731105088828683,3.4003024477614563,12.402268166761003,0.0,1.0,1.0
datatype,0.9512195121951219,0.0,0.0,2.271141764439744,5.158084914182474,3.1727254523625077,11.49351844543586,0.0,0.0,0.0
enumeration,0.4634146341463415,0.0,0.0,2.597221316464344,6.745558566696779,6.523890373374582,44.67422735194535,0.0,0.0,0.0
event,3.902439024390244,0.0,0.0,9.93262457836571,98.65703101475458,6.117512905174958,45.553481178920315,0.0,4.0,4.0
historicalRole,0.2804878048780488,0.0,0.0,1.9133990841967596,3.661096055404998,8.486005947992005,74.4600340212324,0.0,0.0,0.0
historicalRoleMixin,0.10975609756097561,0.0,0.0,0.6286591170548534,0.39521228545618786,6.0278863560250615,35.931213844897954,0.0,0.0,0.0
kind,10.707317073170731,7.5,0.0,16.566728373741586,274.4564890093346,4.8060659879216905,29.738278141923637,3.0,12.75,9.75
mixin,0.1951219512195122,0.0,0.0,0.48276529558710646,0.23306233062330628,2.512576001654968,5.729477103600303,0.0,0.0,0.0
mode,3.0121951219512195,0.5,0.0,7.0509502072880155,49.71589882565491,4.4743223177313896,22.277581772186082,0.0,3.0,3.0
phase,2.3780487804878048,0.0,0.0,4.194765238365372,17.5960554049985,2.0449696865718017,3.5829740815906423,0.0,3.75,3.75
phaseMixin,0.24390243902439024,0.0,0.0,0.9370425713316364,0.8780487804878049,5.394895673092213,34.480673882782604,0.0,0.0,0.0
quality,2.902439024390244,0.0,0.0,5.5301859770427715,30.582956940680514,3.0210292639087917,9.589214079123627,0.0,4.0,4.0
quantity,0.13414634146341464,0.0,0.0,0.49096013571673325,0.24104185486299312,4.164359826993117,18.387952700302105,0.0,0.0,0.0
relator,3.8048780487804876,2.0,0.0,5.292526816975148,28.010840108401084,2.5591273014544718,8.046444615900455,1.0,5.0,4.0
role,4.878048780487805,3.0,0.0,5.41007346633771,29.26889491117133,1.3190408301361929,1.2946842691104385,0.0,7.0,7.0
roleMixin,2.8536585365853657,0.0,0.0,7.552486224963244,57.040048178259546,4.156085808191643,18.055854229241632,0.0,2.0,2.0
situation,0.7560975609756098,0.0,0.0,1.9972881343458977,3.989159891598917,3.4808237033419287,14.118305290879203,0.0,0.0,0.0
subkind,11.75609756097561,4.0,0.0,17.629633425185382,310.80397470641367,2.2033838181456873,4.834991146091221,0.25,17.0,16.75
type,0.9024390243902439,0.0,0.0,2.2641039766812234,5.126166817223729,3.1200334414566697,10.289636817308713,0.0,0.0,0.0
none,1.646341463414634,0.0,0.0,7.372575058490377,54.354862993074384,6.760981282964231,50.513628866284314,0.0,0.0,0.0
other,0.4878048780487805,0.0,0.0,1.7230743586415558,2.9689852454080086,4.310341281736159,20.29353314259808,0.0,0.0,0.0
