Construct,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.008264462809917356,1,0.008264462809917356,9.341429238673517e-05,0.0011013215859030838
category,582,4.809917355371901,86,0.7107438016528925,0.05436711816907987,0.0947136563876652
collective,132,1.0909090909090908,35,0.2892561983471074,0.012330686595049042,0.03854625550660793
datatype,88,0.7272727272727273,26,0.21487603305785125,0.008220457730032694,0.028634361233480177
enumeration,63,0.5206611570247934,8,0.06611570247933884,0.005885100420364316,0.00881057268722467
event,474,3.9173553719008263,53,0.4380165289256198,0.044278374591312473,0.05837004405286344
historicalRole,23,0.19008264462809918,4,0.03305785123966942,0.002148528724894909,0.004405286343612335
historicalRoleMixin,9,0.0743801652892562,3,0.024793388429752067,0.0008407286314806165,0.003303964757709251
kind,1586,13.107438016528926,101,0.8347107438016529,0.148155067725362,0.11123348017621146
mixin,84,0.6942148760330579,22,0.18181818181818182,0.007846800560485754,0.024229074889867842
mode,543,4.487603305785124,58,0.4793388429752066,0.050723960765997195,0.06387665198237885
phase,332,2.743801652892562,41,0.33884297520661155,0.031013545072396075,0.04515418502202643
phaseMixin,20,0.1652892561983471,8,0.06611570247933884,0.0018682858477347033,0.00881057268722467
quality,251,2.074380165289256,44,0.36363636363636365,0.023446987389070528,0.048458149779735685
quantity,44,0.36363636363636365,12,0.09917355371900827,0.004110228865016347,0.013215859030837005
relator,1247,10.305785123966942,91,0.7520661157024794,0.11648762260625876,0.10022026431718062
role,1845,15.24793388429752,84,0.6942148760330579,0.17234936945352639,0.09251101321585903
roleMixin,576,4.760330578512397,54,0.4462809917355372,0.053806632414759456,0.05947136563876652
situation,79,0.6528925619834711,21,0.17355371900826447,0.007379729098552079,0.023127753303964757
subkind,2023,16.71900826446281,88,0.7272727272727273,0.18897711349836524,0.09691629955947137
type,213,1.7603305785123966,26,0.21487603305785125,0.019897244278374592,0.028634361233480177
none,380,3.1404958677685952,23,0.19008264462809918,0.03549743110695937,0.025330396475770924
other,110,0.9090909090909091,19,0.15702479338842976,0.010275572162540868,0.02092511013215859
