Construct,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,101,1,101,11.662817551963048
relator,91,2,192,22.170900692840647
subkind,88,3,280,32.33256351039261
category,86,4,366,42.263279445727484
role,84,5,450,51.96304849884527
mode,58,6,508,58.66050808314087
roleMixin,54,7,562,64.8960739030023
event,53,8,615,71.0161662817552
quality,44,9,659,76.09699769053118
phase,41,10,700,80.83140877598153
collective,35,11,735,84.8729792147806
datatype,26,12,761,87.87528868360278
type,26,13,787,90.87759815242494
mixin,22,14,809,93.41801385681293
situation,21,15,830,95.84295612009238
quantity,12,16,842,97.22863741339492
enumeration,8,17,850,98.15242494226328
phaseMixin,8,18,858,99.07621247113164
historicalRole,4,19,862,99.53810623556582
historicalRoleMixin,3,20,865,99.88452655889145
abstract,1,21,866,100.0
