Construct,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,0,0.0,0,0.0,0.0,0.0
category,285,9.827586206896552,20,0.6896551724137931,0.0490702479338843,0.09615384615384616
collective,65,2.2413793103448274,9,0.3103448275862069,0.011191460055096419,0.04326923076923077
datatype,10,0.3448275862068966,6,0.20689655172413793,0.001721763085399449,0.028846153846153848
enumeration,23,0.7931034482758621,3,0.10344827586206896,0.003960055096418733,0.014423076923076924
event,128,4.413793103448276,12,0.41379310344827586,0.02203856749311295,0.057692307692307696
historicalRole,0,0.0,0,0.0,0.0,0.0
historicalRoleMixin,0,0.0,0,0.0,0.0,0.0
kind,674,23.24137931034483,24,0.8275862068965517,0.11604683195592287,0.11538461538461539
mixin,67,2.310344827586207,8,0.27586206896551724,0.011535812672176309,0.038461538461538464
mode,278,9.586206896551724,12,0.41379310344827586,0.04786501377410468,0.057692307692307696
phase,135,4.655172413793103,8,0.27586206896551724,0.02324380165289256,0.038461538461538464
phaseMixin,0,0.0,0,0.0,0.0,0.0
quality,9,0.3103448275862069,2,0.06896551724137931,0.0015495867768595042,0.009615384615384616
quantity,33,1.1379310344827587,5,0.1724137931034483,0.005681818181818182,0.02403846153846154
relator,905,31.20689655172414,20,0.6896551724137931,0.15581955922865015,0.09615384615384616
role,1436,49.51724137931034,22,0.7586206896551724,0.24724517906336088,0.10576923076923077
roleMixin,311,10.724137931034482,14,0.4827586206896552,0.053546831955922865,0.0673076923076923
situation,11,0.3793103448275862,4,0.13793103448275862,0.001893939393939394,0.019230769230769232
subkind,1016,35.03448275862069,19,0.6551724137931034,0.174931129476584,0.09134615384615384
type,136,4.689655172413793,6,0.20689655172413793,0.023415977961432508,0.028846153846153848
none,228,7.862068965517241,7,0.2413793103448276,0.03925619834710744,0.03365384615384615
other,58,2.0,7,0.2413793103448276,0.009986225895316805,0.03365384615384615
