Construct,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
role,1436,1,1436,26.00507062658457
subkind,1016,2,2452,44.404201376312926
relator,905,3,3357,60.79319087287215
kind,674,4,4031,72.99891343716045
roleMixin,311,5,4342,78.63093082216588
category,285,6,4627,83.7921043100326
mode,278,7,4905,88.82651213328504
type,136,8,5041,91.28938790293371
phase,135,9,5176,93.7341542919232
event,128,10,5304,96.05215501629844
mixin,67,11,5371,97.2654835204636
collective,65,12,5436,98.4425932633104
quantity,33,13,5469,99.04020282506339
enumeration,23,14,5492,99.45671858022456
situation,11,15,5503,99.65592176747555
datatype,10,16,5513,99.83701557406737
quality,9,17,5522,100.0
abstract,0,18,5522,100.0
phaseMixin,0,19,5522,100.0
historicalRole,0,20,5522,100.0
historicalRoleMixin,0,21,5522,100.0
