Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,92,1,92,17.391304347826086
mediation,66,2,158,29.867674858223065
characterization,61,3,219,41.39886578449906
material,44,4,263,49.7164461247637
componentOf,35,5,298,56.33270321361059
derivation,31,6,329,62.19281663516069
participation,29,7,358,67.67485822306239
other,25,8,383,72.4007561436673
memberOf,23,9,406,76.74858223062382
externalDependence,21,10,427,80.71833648393195
creation,18,11,445,84.12098298676749
instantiation,17,12,462,87.33459357277883
historicalDependence,16,13,478,90.35916824196597
manifestation,12,14,490,92.62759924385632
bringsAbout,12,15,502,94.89603024574669
triggers,10,16,512,96.78638941398866
comparative,6,17,518,97.92060491493385
participational,4,18,522,98.67674858223062
termination,3,19,525,99.24385633270322
subQuantityOf,2,20,527,99.62192816635161
subCollectionOf,2,21,529,100.0
