Construct Pair,Jaccard Similarity,Dice Coefficient
"('bringsAbout', 'characterization')",0.1896551724137931,0.3188405797101449
"('bringsAbout', 'comparative')",0.21428571428571427,0.35294117647058826
"('bringsAbout', 'componentOf')",0.1282051282051282,0.22727272727272727
"('bringsAbout', 'creation')",0.15384615384615385,0.26666666666666666
"('bringsAbout', 'derivation')",0.10526315789473684,0.19047619047619047
"('bringsAbout', 'externalDependence')",0.18518518518518517,0.3125
"('bringsAbout', 'historicalDependence')",0.2727272727272727,0.42857142857142855
"('bringsAbout', 'instantiation')",0.20833333333333334,0.3448275862068966
"('bringsAbout', 'manifestation')",0.2631578947368421,0.4166666666666667
"('bringsAbout', 'material')",0.16279069767441862,0.28
"('bringsAbout', 'mediation')",0.08823529411764706,0.16216216216216217
"('bringsAbout', 'memberOf')",0.06451612903225806,0.12121212121212122
"('bringsAbout', 'participation')",0.3793103448275862,0.55
"('bringsAbout', 'participational')",0.06666666666666667,0.125
"('bringsAbout', 'subCollectionOf')",0.0,0.0
"('bringsAbout', 'subQuantityOf')",0.0,0.0
"('bringsAbout', 'termination')",0.15384615384615385,0.26666666666666666
"('bringsAbout', 'triggers')",0.5714285714285714,0.7272727272727273
"('bringsAbout', 'other')",0.03125,0.06060606060606061
"('bringsAbout', 'none')",0.13414634146341464,0.23655913978494625
"('characterization', 'comparative')",0.05084745762711865,0.0967741935483871
"('characterization', 'componentOf')",0.43548387096774194,0.6067415730337079
"('characterization', 'creation')",0.20967741935483872,0.3466666666666667
"('characterization', 'derivation')",0.29850746268656714,0.45977011494252873
"('characterization', 'externalDependence')",0.3050847457627119,0.4675324675324675
"('characterization', 'historicalDependence')",0.21666666666666667,0.3561643835616438
"('characterization', 'instantiation')",0.2542372881355932,0.40540540540540543
"('characterization', 'manifestation')",0.1896551724137931,0.3188405797101449
"('characterization', 'material')",0.4393939393939394,0.6105263157894737
"('characterization', 'mediation')",0.6081081081081081,0.7563025210084033
"('characterization', 'memberOf')",0.25806451612903225,0.41025641025641024
"('characterization', 'participation')",0.3709677419354839,0.5411764705882353
"('characterization', 'participational')",0.05172413793103448,0.09836065573770492
"('characterization', 'subCollectionOf')",0.03508771929824561,0.06779661016949153
"('characterization', 'subQuantityOf')",0.03508771929824561,0.06779661016949153
"('characterization', 'termination')",0.01694915254237288,0.03333333333333333
"('characterization', 'triggers')",0.17543859649122806,0.29850746268656714
"('characterization', 'other')",0.2,0.3333333333333333
"('characterization', 'none')",0.5681818181818182,0.7246376811594203
"('comparative', 'componentOf')",0.12121212121212122,0.21621621621621623
"('comparative', 'creation')",0.15,0.2608695652173913
"('comparative', 'derivation')",0.09375,0.17142857142857143
"('comparative', 'externalDependence')",0.0,0.0
"('comparative', 'historicalDependence')",0.10526315789473684,0.19047619047619047
"('comparative', 'instantiation')",0.0,0.0
"('comparative', 'manifestation')",0.0625,0.11764705882352941
"('comparative', 'material')",0.13157894736842105,0.23255813953488372
"('comparative', 'mediation')",0.08064516129032258,0.14925373134328357
"('comparative', 'memberOf')",0.13043478260869565,0.23076923076923078
"('comparative', 'participation')",0.13793103448275862,0.24242424242424243
"('comparative', 'participational')",0.0,0.0
"('comparative', 'subCollectionOf')",0.0,0.0
"('comparative', 'subQuantityOf')",0.0,0.0
"('comparative', 'termination')",0.3333333333333333,0.5
"('comparative', 'triggers')",0.07142857142857142,0.13333333333333333
"('comparative', 'other')",0.0,0.0
"('comparative', 'none')",0.04878048780487805,0.09302325581395349
"('componentOf', 'creation')",0.19047619047619047,0.32
"('componentOf', 'derivation')",0.21568627450980393,0.3548387096774194
"('componentOf', 'externalDependence')",0.15555555555555556,0.2692307692307692
"('componentOf', 'historicalDependence')",0.2,0.3333333333333333
"('componentOf', 'instantiation')",0.2564102564102564,0.40816326530612246
"('componentOf', 'manifestation')",0.1891891891891892,0.3181818181818182
"('componentOf', 'material')",0.4,0.5714285714285714
"('componentOf', 'mediation')",0.38235294117647056,0.5531914893617021
"('componentOf', 'memberOf')",0.358974358974359,0.5283018867924528
"('componentOf', 'participation')",0.22448979591836735,0.36666666666666664
"('componentOf', 'participational')",0.02857142857142857,0.05555555555555555
"('componentOf', 'subCollectionOf')",0.0625,0.11764705882352941
"('componentOf', 'subQuantityOf')",0.0625,0.11764705882352941
"('componentOf', 'termination')",0.06060606060606061,0.11428571428571428
"('componentOf', 'triggers')",0.05,0.09523809523809523
"('componentOf', 'other')",0.20454545454545456,0.33962264150943394
"('componentOf', 'none')",0.32941176470588235,0.49557522123893805
"('creation', 'derivation')",0.17073170731707318,0.2916666666666667
"('creation', 'externalDependence')",0.22580645161290322,0.3684210526315789
"('creation', 'historicalDependence')",0.3076923076923077,0.47058823529411764
"('creation', 'instantiation')",0.2962962962962963,0.45714285714285713
"('creation', 'manifestation')",0.25,0.4
"('creation', 'material')",0.16666666666666666,0.2857142857142857
"('creation', 'mediation')",0.21212121212121213,0.35
"('creation', 'memberOf')",0.25806451612903225,0.41025641025641024
"('creation', 'participation')",0.5862068965517241,0.7391304347826086
"('creation', 'participational')",0.15789473684210525,0.2727272727272727
"('creation', 'subCollectionOf')",0.1111111111111111,0.2
"('creation', 'subQuantityOf')",0.05263157894736842,0.1
"('creation', 'termination')",0.16666666666666666,0.2857142857142857
"('creation', 'triggers')",0.07692307692307693,0.14285714285714285
"('creation', 'other')",0.11428571428571428,0.20512820512820512
"('creation', 'none')",0.2222222222222222,0.36363636363636365
"('derivation', 'externalDependence')",0.08695652173913043,0.16
"('derivation', 'historicalDependence')",0.06976744186046512,0.13043478260869565
"('derivation', 'instantiation')",0.06818181818181818,0.1276595744680851
"('derivation', 'manifestation')",0.024390243902439025,0.047619047619047616
"('derivation', 'material')",0.5111111111111111,0.6764705882352942
"('derivation', 'mediation')",0.4603174603174603,0.6304347826086957
"('derivation', 'memberOf')",0.275,0.43137254901960786
"('derivation', 'participation')",0.1836734693877551,0.3103448275862069
"('derivation', 'participational')",0.0,0.0
"('derivation', 'subCollectionOf')",0.03225806451612903,0.0625
"('derivation', 'subQuantityOf')",0.03225806451612903,0.0625
"('derivation', 'termination')",0.06451612903225806,0.12121212121212122
"('derivation', 'triggers')",0.14285714285714285,0.25
"('derivation', 'other')",0.275,0.43137254901960786
"('derivation', 'none')",0.3373493975903614,0.5045045045045045
"('externalDependence', 'historicalDependence')",0.3333333333333333,0.5
"('externalDependence', 'instantiation')",0.48,0.6486486486486487
"('externalDependence', 'manifestation')",0.3333333333333333,0.5
"('externalDependence', 'material')",0.07407407407407407,0.13793103448275862
"('externalDependence', 'mediation')",0.20588235294117646,0.34146341463414637
"('externalDependence', 'memberOf')",0.17142857142857143,0.2926829268292683
"('externalDependence', 'participation')",0.2972972972972973,0.4583333333333333
"('externalDependence', 'participational')",0.14285714285714285,0.25
"('externalDependence', 'subCollectionOf')",0.047619047619047616,0.09090909090909091
"('externalDependence', 'subQuantityOf')",0.047619047619047616,0.09090909090909091
"('externalDependence', 'termination')",0.045454545454545456,0.08695652173913043
"('externalDependence', 'triggers')",0.2,0.3333333333333333
"('externalDependence', 'other')",0.17142857142857143,0.2926829268292683
"('externalDependence', 'none')",0.21686746987951808,0.3564356435643564
"('historicalDependence', 'instantiation')",0.43478260869565216,0.6060606060606061
"('historicalDependence', 'manifestation')",0.4,0.5714285714285714
"('historicalDependence', 'material')",0.14893617021276595,0.25925925925925924
"('historicalDependence', 'mediation')",0.18181818181818182,0.3076923076923077
"('historicalDependence', 'memberOf')",0.1935483870967742,0.32432432432432434
"('historicalDependence', 'participation')",0.41935483870967744,0.5909090909090909
"('historicalDependence', 'participational')",0.17647058823529413,0.3
"('historicalDependence', 'subCollectionOf')",0.125,0.2222222222222222
"('historicalDependence', 'subQuantityOf')",0.058823529411764705,0.1111111111111111
"('historicalDependence', 'termination')",0.05555555555555555,0.10526315789473684
"('historicalDependence', 'triggers')",0.23809523809523808,0.38461538461538464
"('historicalDependence', 'other')",0.08823529411764706,0.16216216216216217
"('historicalDependence', 'none')",0.18292682926829268,0.30927835051546393
"('instantiation', 'manifestation')",0.6111111111111112,0.7586206896551724
"('instantiation', 'material')",0.1,0.18181818181818182
"('instantiation', 'mediation')",0.16176470588235295,0.27848101265822783
"('instantiation', 'memberOf')",0.15151515151515152,0.2631578947368421
"('instantiation', 'participation')",0.36363636363636365,0.5333333333333333
"('instantiation', 'participational')",0.10526315789473684,0.19047619047619047
"('instantiation', 'subCollectionOf')",0.05555555555555555,0.10526315789473684
"('instantiation', 'subQuantityOf')",0.05555555555555555,0.10526315789473684
"('instantiation', 'termination')",0.05263157894736842,0.1
"('instantiation', 'triggers')",0.17391304347826086,0.2962962962962963
"('instantiation', 'other')",0.1875,0.3157894736842105
"('instantiation', 'none')",0.1951219512195122,0.32653061224489793
"('manifestation', 'material')",0.06382978723404255,0.12
"('manifestation', 'mediation')",0.1044776119402985,0.1891891891891892
"('manifestation', 'memberOf')",0.1,0.18181818181818182
"('manifestation', 'participation')",0.3333333333333333,0.5
"('manifestation', 'participational')",0.0,0.0
"('manifestation', 'subCollectionOf')",0.0,0.0
"('manifestation', 'subQuantityOf')",0.0,0.0
"('manifestation', 'termination')",0.0,0.0
"('manifestation', 'triggers')",0.2222222222222222,0.36363636363636365
"('manifestation', 'other')",0.2222222222222222,0.36363636363636365
