year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
2005,0.00000,0.00211,0.00000,0.00211,0.00000,0.00211,0.00000,0.00000,0.00000,0.00000,0.00211,0.00211,0.00211,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2007,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2011,0.00000,0.00000,0.00000,0.00211,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00211,0.00000,0.00000,0.00000,0.00000,0.00423,0.00423,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013,0.00000,0.00000,0.00000,0.00211,0.00000,0.00211,0.00000,0.00000,0.00000,0.00000,0.00211,0.00211,0.00423,0.00000,0.00000,0.00423,0.00000,0.00000,0.00000
2014,0.00000,0.00000,0.00000,0.00211,0.00000,0.00211,0.00000,0.00000,0.00000,0.00000,0.00211,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2015,0.00000,0.01268,0.00000,0.01268,0.00000,0.00846,0.00211,0.00000,0.00000,0.00000,0.01057,0.01480,0.01057,0.00000,0.00000,0.00423,0.00423,0.00000,0.00000
2016,0.00000,0.00634,0.00211,0.00211,0.00000,0.00000,0.00211,0.00000,0.00000,0.00000,0.00211,0.00634,0.00423,0.00211,0.00000,0.00000,0.00000,0.00000,0.00000
2017,0.00000,0.00211,0.00000,0.00423,0.00000,0.00211,0.00000,0.00000,0.00000,0.00000,0.01057,0.00211,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2018,0.00211,0.00846,0.00000,0.00634,0.00000,0.00211,0.00211,0.00211,0.00211,0.00211,0.00634,0.01268,0.00423,0.00211,0.00000,0.00000,0.00000,0.00000,0.00211
2019,0.00000,0.00846,0.00000,0.00423,0.00000,0.00634,0.00000,0.00211,0.00211,0.00211,0.00634,0.01268,0.00634,0.00211,0.00000,0.00000,0.00000,0.00000,0.00000
2020,0.00000,0.01268,0.00000,0.00846,0.00423,0.01057,0.00423,0.00000,0.00423,0.00211,0.00846,0.01480,0.00000,0.00634,0.00000,0.00000,0.00000,0.00000,0.00423
2021,0.00846,0.02960,0.00211,0.01691,0.00634,0.01057,0.01268,0.00634,0.00846,0.00846,0.01903,0.02537,0.00846,0.01480,0.00211,0.00000,0.00211,0.00000,0.00423
2022,0.00423,0.02537,0.00000,0.01057,0.01268,0.01268,0.01480,0.01691,0.01268,0.00423,0.01691,0.02748,0.00846,0.01480,0.00423,0.00423,0.00211,0.00211,0.00423
2023,0.00634,0.02326,0.00423,0.01480,0.01057,0.01691,0.00634,0.00000,0.00423,0.00211,0.01480,0.02748,0.01480,0.01057,0.00000,0.00000,0.00000,0.00423,0.00423
2024,0.00423,0.01268,0.00423,0.00634,0.00423,0.00423,0.00211,0.00634,0.00211,0.00423,0.00846,0.01057,0.00211,0.00846,0.00211,0.00000,0.00000,0.00000,0.00211
