Stereotype,DistanceFromOrigin,Rank
kind,77.00007857138849,1
relator,71.00007244894263,2
subkind,69.00007040812734,3
category,66.00006734690442,4
role,62.000063265273845,5
mode,46.00004693875156,6
quality,42.00004285712099,7
event,41.00004183671335,8
roleMixin,40.000040816305706,9
phase,33.00003367345221,10
collective,26.00002653059871,11
datatype,20.000020408152853,12
type,20.000020408152853,12
situation,17.000017346929926,13
none,16.00001632652228,14
mixin,14.000014285706998,15
other,12.000012244891712,16
phaseMixin,8.00000816326114,17
quantity,7.000007142853499,18
enumeration,5.000005102038213,19
historicalRole,4.00000408163057,20
historicalRoleMixin,3.000003061222928,21
abstract,1.0000010204076426,22
