Stereotype,x_value,y_value,quadrant
abstract,1,0.0108695652173913,Q3
category,297,0.717391304347826,Q1
collective,67,0.2826086956521739,Q2
datatype,78,0.217391304347826,Q1
enumeration,40,0.0543478260869565,Q3
event,346,0.4456521739130434,Q1
historicalRole,23,0.0434782608695652,Q3
historicalRoleMixin,9,0.0326086956521739,Q3
kind,912,0.8369565217391305,Q1
mixin,17,0.1521739130434782,Q3
mode,265,0.5,Q1
phase,197,0.358695652173913,Q1
phaseMixin,20,0.0869565217391304,Q3
quality,242,0.4565217391304347,Q1
quantity,11,0.0760869565217391,Q3
relator,342,0.7717391304347826,Q1
role,409,0.6739130434782609,Q1
roleMixin,265,0.4347826086956521,Q1
situation,68,0.1847826086956521,Q3
subkind,1007,0.75,Q1
type,77,0.217391304347826,Q2
none,152,0.1739130434782608,Q4
other,52,0.1304347826086956,Q3
