construct,x_value,y_value,quadrant
abstract,1,0.0011547344110854,Q3
category,86,0.0993071593533487,Q1
collective,35,0.0404157043879907,Q1
datatype,26,0.0300230946882217,Q3
enumeration,8,0.0092378752886836,Q3
event,53,0.0612009237875288,Q1
historicalRole,4,0.0046189376443418,Q3
historicalRoleMixin,3,0.0034642032332563,Q3
kind,101,0.1166281755196304,Q1
mixin,22,0.0254041570438799,Q3
mode,58,0.0669745958429561,Q1
phase,41,0.0473441108545034,Q1
phaseMixin,8,0.0092378752886836,Q3
quality,44,0.0508083140877598,Q1
quantity,12,0.0138568129330254,Q3
relator,91,0.1050808314087759,Q1
role,84,0.0969976905311778,Q1
roleMixin,54,0.0623556581986143,Q1
situation,21,0.0242494226327944,Q3
subkind,88,0.1016166281755196,Q1
type,26,0.0300230946882217,Q3
