construct,x_value,y_value,quadrant
abstract,0.0082644628099173,9.78952520802741e-05,Q3
category,0.7107438016528925,0.0569750367107195,Q1
collective,0.2892561983471074,0.0129221732745961,Q4
datatype,0.2148760330578512,0.0086147821830641,Q3
enumeration,0.0661157024793388,0.0061674008810572,Q3
event,0.4380165289256198,0.0464023494860499,Q1
historicalRole,0.0330578512396694,0.0022515907978463,Q3
historicalRoleMixin,0.024793388429752,0.0008810572687224,Q3
kind,0.8347107438016529,0.1552618697993147,Q1
mixin,0.1818181818181818,0.008223201174743,Q3
mode,0.4793388429752066,0.0531571218795888,Q1
phase,0.3388429752066115,0.032501223690651,Q1
phaseMixin,0.0661157024793388,0.0019579050416054,Q3
quality,0.3636363636363636,0.0245717082721488,Q1
quantity,0.0991735537190082,0.004307391091532,Q3
relator,0.7520661157024794,0.1220753793441018,Q1
role,0.6942148760330579,0.1806167400881057,Q1
roleMixin,0.4462809917355372,0.0563876651982378,Q1
situation,0.1735537190082644,0.0077337249143416,Q3
subkind,0.7272727272727273,0.1980420949583945,Q1
type,0.2148760330578512,0.0208516886930983,Q2
