Stereotype,x_value,y_value,quadrant
abstract,0,0.0,Q3
category,20,0.6896551724137931,Q1
collective,9,0.3103448275862069,Q1
datatype,6,0.2068965517241379,Q3
enumeration,3,0.1034482758620689,Q3
event,12,0.4137931034482758,Q1
historicalRole,0,0.0,Q3
historicalRoleMixin,0,0.0,Q3
kind,24,0.8275862068965517,Q1
mixin,8,0.2758620689655172,Q1
mode,12,0.4137931034482758,Q1
phase,8,0.2758620689655172,Q1
phaseMixin,0,0.0,Q3
quality,2,0.0689655172413793,Q3
quantity,5,0.1724137931034483,Q3
relator,20,0.6896551724137931,Q1
role,22,0.7586206896551724,Q1
roleMixin,14,0.4827586206896552,Q1
situation,4,0.1379310344827586,Q3
subkind,19,0.6551724137931034,Q1
type,6,0.2068965517241379,Q3
none,7,0.2413793103448276,Q1
other,7,0.2413793103448276,Q1
