Stereotype,DistanceFromOrigin,Rank
role,1436.1685137893812,1
subkind,1016.1776419504613,2
relator,905.2209674990963,3
kind,674.4271643402274,4
roleMixin,311.3149530620076,5
category,285.70089254323307,6
mode,278.25887227544064,7
type,136.13228860193308,8
phase,135.2368293032634,9
event,128.56126943990557,10
mixin,67.47592163134935,11
collective,65.62011886609167,12
quantity,33.37663853655727,13
enumeration,23.194827009486403,14
situation,11.704699910719626,15
datatype,11.661903789690601,16
quality,9.219544457292887,17
abstract,0.0,18
historicalRole,0.0,18
historicalRoleMixin,0.0,18
phaseMixin,0.0,18
