Stereotype,DistanceFromOrigin,Rank
none,106.60085601873621,1
mediation,78.69729337595098,2
characterization,68.15619252974471,3
material,54.24490513349377,4
componentOf,45.22981712107876,5
derivation,39.041974858263465,6
other,35.27404592173712,7
memberOf,31.045364068540312,8
participation,29.05238104191515,9
externalDependence,22.00920168197125,10
creation,18.006828839191297,11
instantiation,17.00956150834287,12
historicalDependence,16.004131697938465,13
manifestation,12.0032893973044,14
bringsAbout,12.002561027171778,15
triggers,10.000874219009923,16
comparative,6.00778699206617,17
subCollectionOf,6.004147873003805,18
participational,4.002466625577289,19
subQuantityOf,4.001673033085681,20
termination,3.0002845754425382,21
